from,to
E-GEOD-5305_g1_g3_EGF-type aspartate/asparagine hydroxylation site,EGF-type aspartate/asparagine hydroxylation site
E-GEOD-5305_g1_g3_Thyroglobulin type-1,Thyroglobulin type-1
E-GEOD-5305_g1_g3_EGF-like calcium-binding domain,EGF-like calcium-binding domain
E-GEOD-5305_g1_g3_Kazal domain,Kazal domain
E-GEOD-5305_g1_g3_Growth factor receptor cysteine-rich domain superfamily,Growth factor receptor cysteine-rich domain superfamily
"E-GEOD-5305_g1_g3_EGF-like calcium-binding, conserved site","EGF-like calcium-binding, conserved site"
E-GEOD-5305_g1_g3_Kazal domain superfamily,Kazal domain superfamily
E-GEOD-5305_g1_g3_Thyroglobulin type-1 superfamily,Thyroglobulin type-1 superfamily
"E-GEOD-5305_g2_g4_Insulin-like growth factor-binding protein, IGFBP","Insulin-like growth factor-binding protein, IGFBP"
