from,to
E-GEOD-5305,E-GEOD-5305-g1_g3
E-GEOD-5305,E-GEOD-5305-g2_g4
E-GEOD-5305,E-GEOD-5305-g5_g7
E-GEOD-5305,E-GEOD-5305-g6_g8
