identifier,name
EGF-type aspartate/asparagine hydroxylation site,IPR000152
Thyroglobulin type-1,IPR000716
EGF-like calcium-binding domain,IPR001881
Kazal domain,IPR002350
Growth factor receptor cysteine-rich domain superfamily,IPR009030
"EGF-like calcium-binding, conserved site",IPR018097
Kazal domain superfamily,IPR036058
Thyroglobulin type-1 superfamily,IPR036857
"Insulin-like growth factor-binding protein, IGFBP",IPR000867
