Term	Accession	Genes (tot)	Stat (non-dir.) p	p adj (non-dir.)	Significant..in.gene.set.	Non.significant..in.gene.set.	Significant..not.in.gene.set.	Non.significant..not.in.gene.set.	effect.size
GO:0000002	mitochondrial genome maintenance	  7	0.563170298527647	1	3	4	1897	2940	1.09263157894737
GO:0000012	single strand break repair	  8	0.387889435544869	1	4	4	1896	2940	1.27473684210526
GO:0000027	ribosomal large subunit assembly	  7	0.83118932937518	1	2	5	1898	2939	0.728421052631579
GO:0000038	very long-chain fatty acid metabolic process	  8	0.668338816317314	1	3	5	1897	2939	0.956052631578947
GO:0000045	autophagosome assembly	 20	0.222009403104782	1	10	10	1890	2934	1.27473684210526
GO:0000049	tRNA binding	 21	0.00996369617546033	0.387827414424563	14	7	1886	2937	1.69964912280702
GO:0000062	fatty-acyl-CoA binding	  6	0.0374065477785077	0.668750781505298	5	1	1895	2943	2.12456140350877
GO:0000070	mitotic sister chromatid segregation	 11	0.445796419414966	1	5	6	1895	2938	1.15885167464115
GO:0000077	DNA damage checkpoint	 10	0.598206974532865	1	4	6	1896	2938	1.01978947368421
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	 18	0.240790015246695	1	9	9	1891	2935	1.27473684210526
GO:0000082	G1/S transition of mitotic cell cycle	 24	0.0449588354741945	0.700531030233308	14	10	1886	2934	1.48719298245614
GO:0000086	G2/M transition of mitotic cell cycle	 18	0.240790015246695	1	9	9	1891	2935	1.27473684210526
GO:0000118	histone deacetylase complex	  8	0.981454138647988	1	1	7	1899	2937	0.318684210526316
GO:0000123	histone acetyltransferase complex	  8	0.161693655219476	1	5	3	1895	2941	1.59342105263158
GO:0000124	SAGA complex	  5	0.917188765638001	1	1	4	1899	2940	0.509894736842105
GO:0000132	establishment of mitotic spindle orientation	 10	0.598206974532865	1	4	6	1896	2938	1.01978947368421
GO:0000149	SNARE binding	 23	0.144601017125202	1	12	11	1888	2933	1.33016018306636
GO:0000151	ubiquitin ligase complex	 28	0.415411441121114	1	12	16	1888	2928	1.09263157894737
GO:0000165	MAPK cascade	 21	0.957290823226915	1	5	16	1895	2928	0.607017543859649
GO:0000175	3	  9	0.92316276301718	1	2	7	1898	2937	0.566549707602339
GO:0000176	nuclear exosome (RNase complex)	  7	0.563170298527647	1	3	4	1897	2940	1.09263157894737
GO:0000177	cytoplasmic exosome (RNase complex)	  5	0.304039849485138	1	3	2	1897	2942	1.52968421052632
GO:0000178	exosome (RNase complex)	  5	0.649601443719976	1	2	3	1898	2941	1.01978947368421
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	  9	0.497900286521984	1	4	5	1896	2939	1.13309941520468
GO:0000185	activation of MAPKKK activity	  5	0.917188765638001	1	1	4	1899	2940	0.509894736842105
GO:0000186	activation of MAPKK activity	 11	0.685298720314521	1	4	7	1896	2937	0.927081339712919
GO:0000187	activation of MAPK activity	 26	0.605196542254626	1	10	16	1890	2928	0.980566801619433
GO:0000188	inactivation of MAPK activity	  9	0.250375871823477	1	5	4	1895	2940	1.41637426900585
GO:0000209	protein polyubiquitination	 39	0.342651578667719	1	17	22	1883	2922	1.11130904183536
GO:0000226	microtubule cytoskeleton organization	 43	0.301504094272718	1	19	24	1881	2920	1.12651162790698
GO:0000228	nuclear chromosome	 16	0.447143882954465	1	7	9	1893	2935	1.11539473684211
GO:0000242	pericentriolar material	  7	0.563170298527647	1	3	4	1897	2940	1.09263157894737
GO:0000244	spliceosomal tri-snRNP complex assembly	  7	0.274791545382173	1	4	3	1896	2941	1.45684210526316
GO:0000245	spliceosomal complex assembly	  7	0.563170298527647	1	3	4	1897	2940	1.09263157894737
GO:0000266	mitochondrial fission	  7	0.563170298527647	1	3	4	1897	2940	1.09263157894737
GO:0000278	mitotic cell cycle	 50	0.129261473724608	1	24	26	1876	2918	1.22374736842105
GO:0000281	mitotic cytokinesis	 20	0.727338785506498	1	7	13	1893	2931	0.892315789473684
GO:0000287	magnesium ion binding	 57	0.00135463044443642	0.153161357788266	34	23	1866	2921	1.52073868882733
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	  5	1	1	0	5	1900	2939	0
GO:0000302	response to reactive oxygen species	  5	0.649601443719976	1	2	3	1898	2941	1.01978947368421
GO:0000307	cyclin-dependent protein kinase holoenzyme complex	 13	0.402691105215304	1	6	7	1894	2937	1.17668016194332
GO:0000346	transcription export complex	  6	0.168500294647832	1	4	2	1896	2942	1.69964912280702
GO:0000380	alternative mRNA splicing, via spliceosome	 10	0.820137126935884	1	3	7	1897	2937	0.764842105263158
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	 29	0.972053827852121	1	7	22	1893	2922	0.615390199637024
GO:0000387	spliceosomal snRNP assembly	 10	0.15331148914129	1	6	4	1894	2940	1.52968421052632
GO:0000398	mRNA splicing, via spliceosome	 55	0.0511115096727564	0.700531030233308	28	27	1872	2917	1.29791387559809
GO:0000400	four-way junction DNA binding	  6	0.754612463418742	1	2	4	1898	2940	0.849824561403509
GO:0000407	phagophore assembly site	  7	0.563170298527647	1	3	4	1897	2940	1.09263157894737
GO:0000413	protein peptidyl-prolyl isomerization	 16	0.0507934373406584	0.700531030233308	10	6	1890	2938	1.59342105263158
GO:0000421	autophagosome membrane	  9	0.497900286521984	1	4	5	1896	2939	1.13309941520468
GO:0000422	autophagy of mitochondrion	  8	0.668338816317314	1	3	5	1897	2939	0.956052631578947
GO:0000460	maturation of 5.8S rRNA	  5	0.917188765638001	1	1	4	1899	2940	0.509894736842105
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	  9	0.0221782251673199	0.562734580302472	7	2	1893	2942	1.98292397660819
GO:0000502	proteasome complex	 24	0.0990687638663571	0.853323386243832	13	11	1887	2933	1.3809649122807
GO:0000712	resolution of meiotic recombination intermediates	  5	0.304039849485138	1	3	2	1897	2942	1.52968421052632
GO:0000722	telomere maintenance via recombination	  5	0.304039849485138	1	3	2	1897	2942	1.52968421052632
GO:0000723	telomere maintenance	 16	0.261993676791498	1	8	8	1892	2936	1.27473684210526
GO:0000724	double-strand break repair via homologous recombination	 26	0.0930031363308108	0.807866226602382	14	12	1886	2932	1.37279352226721
