Term	Accession	Genes (tot)	Stat (non-dir.) p	p adj (non-dir.)	Significant..in.gene.set.	Non.significant..in.gene.set.	Significant..not.in.gene.set.	Non.significant..not.in.gene.set.	effect.size
R-MMU-109581	Apoptosis	38	0.524747309727747	1	15	23	940	1487	1.01887572333976
R-MMU-109606	Intrinsic Pathway for Apoptosis	16	0.807405565161298	1	5	11	950	1499	0.806609947643979
R-MMU-109704	PI3K Cascade	15	0.351325763443339	1	7	8	948	1502	1.20453752181501
R-MMU-110312	Translesion synthesis by REV1	 6	0.746960989923747	1	2	4	953	1506	0.860383944153578
R-MMU-110313	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	14	0.273156104525716	0.976450972497412	7	7	948	1503	1.29057591623037
R-MMU-110314	Recognition of DNA damage by PCNA-containing replication complex	15	0.557526725322984	1	6	9	949	1501	1.03246073298429
R-MMU-110320	Translesion Synthesis by POLH	 7	0.552589116287892	1	3	4	952	1506	1.10620792819746
R-MMU-110330	Recognition and association of DNA glycosylase with site containing an affected purine	 8	0.376747677580977	1	4	4	951	1506	1.29057591623037
R-MMU-110331	Cleavage of the damaged purine	 8	0.376747677580977	1	4	4	951	1506	1.29057591623037
R-MMU-110362	POLB-Dependent Long Patch Base Excision Repair	 5	0.295790411551848	0.976450972497412	3	2	952	1508	1.54869109947644
R-MMU-110373	Resolution of AP sites via the multiple-nucleotide patch replacement pathway	14	0.127471219813545	0.767520372820993	8	6	947	1504	1.47494390426328
R-MMU-111447	Activation of BAD and translocation to mitochondria 	 6	0.947363688988976	1	1	5	954	1505	0.430191972076789
R-MMU-111465	Apoptotic cleavage of cellular proteins	16	0.119004625540643	0.732006869332731	9	7	946	1503	1.45189790575916
R-MMU-111471	Apoptotic factor-mediated response	 5	0.641170720496884	1	2	3	953	1507	1.03246073298429
R-MMU-111885	Opioid Signalling	21	0.88397409083577	1	6	15	949	1495	0.737471952131638
R-MMU-111931	PKA-mediated phosphorylation of CREB	 6	0.947363688988976	1	1	5	954	1505	0.430191972076789
R-MMU-111933	Calmodulin induced events	 8	0.980314255056126	1	1	7	954	1503	0.322643979057592
R-MMU-111996	Ca-dependent events	 8	0.980314255056126	1	1	7	954	1503	0.322643979057592
R-MMU-111997	CaM pathway	 8	0.980314255056126	1	1	7	954	1503	0.322643979057592
R-MMU-112040	G-protein mediated events	12	0.90286237965757	1	3	9	952	1501	0.645287958115183
R-MMU-112043	PLC beta mediated events	12	0.90286237965757	1	3	9	952	1501	0.645287958115183
R-MMU-112308	Presynaptic depolarization and calcium channel opening	 5	0.641170720496884	1	2	3	953	1507	1.03246073298429
R-MMU-112310	Neurotransmitter release cycle	11	0.86402324464064	1	3	8	952	1502	0.703950499762018
R-MMU-112314	Neurotransmitter receptors and postsynaptic signal transmission	42	0.987077435654249	1	10	32	945	1478	0.614559960109698
R-MMU-112315	Transmission across Chemical Synapses	61	0.986588060089534	1	16	45	939	1465	0.67702343146511
R-MMU-112316	Neuronal System	84	0.821255935920505	1	29	55	926	1455	0.891111942159063
R-MMU-112382	Formation of RNA Pol II elongation complex 	20	0.979462489260937	1	4	16	951	1494	0.516230366492147
R-MMU-112399	IRS-mediated signalling	15	0.351325763443339	1	7	8	948	1502	1.20453752181501
R-MMU-112409	RAF-independent MAPK1/3 activation	 9	0.020505097109913	0.313068893374564	7	2	948	1508	2.00756253635835
R-MMU-113418	Formation of the Early Elongation Complex	11	0.964035036174266	1	2	9	953	1501	0.469300333174679
R-MMU-113501	Inhibition of replication initiation of damaged DNA by RB1/E2F1	 5	0.0775228820925516	0.571764406855289	4	1	951	1509	2.06492146596859
R-MMU-113510	E2F mediated regulation of DNA replication	 5	0.0775228820925516	0.571764406855289	4	1	951	1509	2.06492146596859
R-MMU-114452	Activation of BH3-only proteins	10	0.812104521968813	1	3	7	952	1503	0.77434554973822
R-MMU-114508	Effects of PIP2 hydrolysis	 5	0.641170720496884	1	2	3	953	1507	1.03246073298429
R-MMU-114604	GPVI-mediated activation cascade	 9	0.919101763655557	1	2	7	953	1503	0.573589296102385
R-MMU-114608	Platelet degranulation 	57	0.173340648421421	0.818819085084615	26	31	929	1479	1.17736750252595
R-MMU-1168372	Downstream signaling events of B Cell Receptor (BCR)	28	0.906590084959864	1	8	20	947	1490	0.737471952131638
R-MMU-1169091	Activation of NF-kappaB in B cells	19	0.809085851242024	1	6	13	949	1497	0.81510057867181
R-MMU-1169408	ISG15 antiviral mechanism	 7	0.265591602116843	0.976450972497412	4	3	951	1507	1.47494390426328
R-MMU-1169410	Antiviral mechanism by IFN-stimulated genes	10	0.585960429426195	1	4	6	951	1504	1.03246073298429
R-MMU-1222556	ROS and RNS production in phagocytes	12	0.74750583958985	1	4	8	951	1502	0.860383944153578
R-MMU-1227986	Signaling by ERBB2	16	0.633324515636783	1	6	10	949	1500	0.967931937172775
R-MMU-1234174	Cellular response to hypoxia	25	0.682959815343705	1	9	16	946	1494	0.929214659685864
R-MMU-1234176	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	24	0.773072019601581	1	8	16	947	1494	0.860383944153578
R-MMU-1236394	Signaling by ERBB4	10	0.812104521968813	1	3	7	952	1503	0.77434554973822
R-MMU-1236974	ER-Phagosome pathway	 7	0.0842899209683114	0.571764406855289	5	2	950	1508	1.8436798803291
R-MMU-1236975	Antigen processing-Cross presentation	26	0.278818152986614	0.976450972497412	12	14	943	1496	1.19130084575111
R-MMU-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	16	0.431197074799985	1	7	9	948	1501	1.12925392670157
R-MMU-1250196	SHC1 events in ERBB2 signaling	 8	0.658093979512041	1	3	5	952	1505	0.967931937172775
R-MMU-1250347	SHC1 events in ERBB4 signaling	 5	0.641170720496884	1	2	3	953	1507	1.03246073298429
R-MMU-1257604	PIP3 activates AKT signaling	69	0.709826599330722	1	25	44	930	1466	0.935199939297367
R-MMU-1296041	Activation of G protein gated Potassium channels	 6	0.947363688988976	1	1	5	954	1505	0.430191972076789
R-MMU-1296059	G protein gated Potassium channels	 6	0.947363688988976	1	1	5	954	1505	0.430191972076789
R-MMU-1296065	Inwardly rectifying K+ channels	 6	0.947363688988976	1	1	5	954	1505	0.430191972076789
R-MMU-1296071	Potassium Channels	17	0.943253829522277	1	4	13	951	1497	0.607329842931937
R-MMU-1296346	Tandem pore domain potassium channels	 5	0.641170720496884	1	2	3	953	1507	1.03246073298429
R-MMU-140342	Apoptosis induced DNA fragmentation	 5	0.295790411551848	0.976450972497412	3	2	952	1508	1.54869109947644
R-MMU-140837	Intrinsic Pathway of Fibrin Clot Formation	 5	0.913963239144771	1	1	4	954	1506	0.516230366492147
R-MMU-140875	Common Pathway of Fibrin Clot Formation	 6	0.429590181643157	1	3	3	952	1507	1.29057591623037
R-MMU-140877	Formation of Fibrin Clot (Clotting Cascade)	11	0.673654594843944	1	4	7	951	1503	0.938600666349358
R-MMU-141405	Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components	 8	0.154435526652711	0.777390742203147	5	3	950	1507	1.61321989528796
R-MMU-141424	Amplification of signal from the kinetochores	46	1.89725610217202e-05	0.00324430793471415	32	14	923	1496	1.79558388345094
R-MMU-141430	Inactivation of APC/C via direct inhibition of the APC/C complex	 8	0.154435526652711	0.777390742203147	5	3	950	1507	1.61321989528796
R-MMU-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	46	1.89725610217202e-05	0.00324430793471415	32	14	923	1496	1.79558388345094
R-MMU-1428517	The citric acid (TCA) cycle and respiratory electron transport	37	0.472666386763383	1	15	22	940	1488	1.04641290505165
R-MMU-1433557	Signaling by SCF-KIT	 5	0.913963239144771	1	1	4	954	1506	0.516230366492147
R-MMU-1442490	Collagen degradation	23	0.00260048031348311	0.0966700290446984	16	7	939	1503	1.79558388345094
R-MMU-1474151	Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation	 5	0.295790411551848	0.976450972497412	3	2	952	1508	1.54869109947644
R-MMU-1474228	Degradation of the extracellular matrix	51	0.085329748894227	0.571764406855289	25	26	930	1484	1.2652705061082
R-MMU-1474290	Collagen formation	32	5.78465333220629e-06	0.00247293929951819	25	7	930	1503	2.01652486910995
R-MMU-1475029	Reversible hydration of carbon dioxide	 7	0.265591602116843	0.976450972497412	4	3	951	1507	1.47494390426328
R-MMU-1482788	Acyl chain remodelling of PC	 7	0.552589116287892	1	3	4	952	1506	1.10620792819746
R-MMU-1482839	Acyl chain remodelling of PE	 7	0.82470973937809	1	2	5	953	1505	0.737471952131638
R-MMU-1482925	Acyl chain remodelling of PG	 5	0.641170720496884	1	2	3	953	1507	1.03246073298429
R-MMU-1483166	Synthesis of PA	10	0.145508442633351	0.777390742203147	6	4	949	1506	1.54869109947644
R-MMU-1483191	Synthesis of PC	 9	0.240483086902112	0.976450972497412	5	4	950	1506	1.43397324025596
R-MMU-1483206	Glycerophospholipid biosynthesis	34	0.0639916706323438	0.571764406855289	18	16	937	1494	1.36649214659686
R-MMU-1483249	Inositol phosphate metabolism	15	0.966711397671383	1	3	12	952	1498	0.516230366492147
R-MMU-1483255	PI Metabolism	17	0.319303624788831	1	8	9	947	1501	1.21465968586387
R-MMU-1483257	Phospholipid metabolism	51	0.0490409092173577	0.505180450371576	26	25	929	1485	1.31588132635253
R-MMU-1489509	DAG and IP3 signaling	 9	0.919101763655557	1	2	7	953	1503	0.573589296102385
R-MMU-1500931	Cell-Cell communication	29	0.454098571770867	1	12	17	943	1493	1.06806282722513
R-MMU-1538133	G0 and Early G1	 6	0.429590181643157	1	3	3	952	1507	1.29057591623037
R-MMU-156580	Phase II - Conjugation of compounds	31	0.905764245551482	1	9	22	946	1488	0.749366661036987
R-MMU-156581	Methylation	 6	0.746960989923747	1	2	4	953	1506	0.860383944153578
R-MMU-156584	Cytosolic sulfonation of small molecules	11	0.86402324464064	1	3	8	952	1502	0.703950499762018
R-MMU-156590	Glutathione conjugation	11	0.673654594843944	1	4	7	951	1503	0.938600666349358
R-MMU-1566948	Elastic fibre formation	20	0.208326153596743	0.924189834482401	10	10	945	1500	1.29057591623037
R-MMU-156827	L13a-mediated translational silencing of Ceruloplasmin expression	11	0.995506251916818	1	1	10	954	1500	0.234650166587339
R-MMU-157118	Signaling by NOTCH	10	0.335457731170874	1	5	5	950	1505	1.29057591623037
R-MMU-157579	Telomere Maintenance	21	0.00866872335308433	0.185373023890907	14	7	941	1503	1.72076788830716
R-MMU-157858	Gap junction trafficking and regulation	13	0.611845950138136	1	5	8	950	1502	0.99275070479259
R-MMU-15869	Metabolism of nucleotides	37	0.472666386763383	1	15	22	940	1488	1.04641290505165
R-MMU-1592230	Mitochondrial biogenesis	 7	0.82470973937809	1	2	5	953	1505	0.737471952131638
R-MMU-159227	Transport of the SLBP independent Mature mRNA	14	0.475046340571126	1	6	8	949	1502	1.10620792819746
R-MMU-159230	Transport of the SLBP Dependant Mature mRNA	14	0.475046340571126	1	6	8	949	1502	1.10620792819746
R-MMU-159231	Transport of Mature mRNA Derived from an Intronless Transcript	14	0.475046340571126	1	6	8	949	1502	1.10620792819746
R-MMU-159234	Transport of Mature mRNAs Derived from Intronless Transcripts	14	0.475046340571126	1	6	8	949	1502	1.10620792819746
R-MMU-159236	Transport of Mature mRNA derived from an Intron-Containing Transcript	29	0.454098571770867	1	12	17	943	1493	1.06806282722513
R-MMU-1592389	Activation of Matrix Metalloproteinases	18	0.887329555538054	1	5	13	950	1497	0.716986620127981
R-MMU-1614558	Degradation of cysteine and homocysteine	 5	0.0775228820925516	0.571764406855289	4	1	951	1509	2.06492146596859
R-MMU-1614635	Sulfur amino acid metabolism	 9	0.020505097109913	0.313068893374564	7	2	948	1508	2.00756253635835
R-MMU-1630316	Glycosaminoglycan metabolism	44	0.140733050094169	0.777390742203147	21	23	934	1487	1.23191337458353
R-MMU-163125	Post-translational modification: synthesis of GPI-anchored proteins	12	1	1	0	12	955	1498	0
R-MMU-163200	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	19	0.992814392856833	1	3	16	952	1494	0.407550289335905
R-MMU-1632852	Macroautophagy	29	0.454098571770867	1	12	17	943	1493	1.06806282722513
R-MMU-163615	PKA activation	 6	0.947363688988976	1	1	5	954	1505	0.430191972076789
R-MMU-163685	Integration of energy metabolism	26	0.585810159797019	1	10	16	945	1494	0.99275070479259
R-MMU-1638074	Keratan sulfate/keratin metabolism	16	0.248634077413366	0.976450972497412	8	8	947	1502	1.29057591623037
R-MMU-1638091	Heparan sulfate/heparin (HS-GAG) metabolism	16	0.431197074799985	1	7	9	948	1501	1.12925392670157
R-MMU-163841	Gamma carboxylation, hypusine formation and arylsulfatase activation	 8	0.154435526652711	0.777390742203147	5	3	950	1507	1.61321989528796
R-MMU-1650814	Collagen biosynthesis and modifying enzymes	25	2.84893128846672e-05	0.00347976607377007	20	5	935	1505	2.06492146596859
R-MMU-165159	mTOR signalling	 9	0.240483086902112	0.976450972497412	5	4	950	1506	1.43397324025596
R-MMU-166016	Toll Like Receptor 4 (TLR4) Cascade	35	0.998560119826003	1	6	29	949	1481	0.442483171278983
R-MMU-1660499	Synthesis of PIPs at the plasma membrane	 9	0.485759350124067	1	4	5	951	1505	1.14717859220477
R-MMU-1660514	Synthesis of PIPs at the Golgi membrane	 6	0.161990641460539	0.777390742203147	4	2	951	1508	1.72076788830716
R-MMU-166058	MyD88:MAL(TIRAP) cascade initiated on plasma membrane	25	0.996694453521508	1	4	21	951	1489	0.412984293193717
R-MMU-1660661	Sphingolipid de novo biosynthesis	11	0.86402324464064	1	3	8	952	1502	0.703950499762018
R-MMU-1660662	Glycosphingolipid metabolism	 9	0.240483086902112	0.976450972497412	5	4	950	1506	1.43397324025596
R-MMU-166166	MyD88-independent TLR4 cascade 	30	0.999527558866402	1	4	26	951	1484	0.344153577661431
R-MMU-166208	mTORC1-mediated signalling	 5	0.641170720496884	1	2	3	953	1507	1.03246073298429
R-MMU-166520	Signaling by NTRKs	20	0.936922287710422	1	5	15	950	1495	0.645287958115183
R-MMU-166658	Complement cascade	14	0.998976585898924	1	1	13	954	1497	0.184367988032909
R-MMU-166663	Initial triggering of complement	 6	1	1	0	6	955	1504	0
R-MMU-1679131	Trafficking and processing of endosomal TLR	 5	0.913963239144771	1	1	4	954	1506	0.516230366492147
R-MMU-168138	Toll Like Receptor 9 (TLR9) Cascade	30	0.997801929762257	1	5	25	950	1485	0.430191972076789
