Term	Accession	Genes (tot)	Stat (non-dir.) p	p adj (non-dir.)	Significant..in.gene.set.	Non.significant..in.gene.set.	Significant..not.in.gene.set.	Non.significant..not.in.gene.set.	effect.size
IPR000008	C2 domain	16	0.230694628990254	1	7	9	581	1228	1.3578869047619
IPR000048	IQ motif, EF-hand binding site	 5	0.517068001138524	1	2	3	586	1234	1.24149659863946
IPR000086	NUDIX hydrolase domain	 5	1	1	0	5	588	1232	0
IPR000152	EGF-type aspartate/asparagine hydroxylation site	 8	0.23581586912672	1	4	4	584	1233	1.55187074829932
IPR000159	Ras-associating (RA) domain	 7	0.716065948644015	1	2	5	586	1232	0.886783284742468
IPR000195	Rab-GTPase-TBC domain	 7	0.403651357316805	1	3	4	585	1233	1.3301749271137
IPR000198	Rho GTPase-activating protein domain	 6	0.0891484784663918	1	4	2	584	1235	2.06916099773243
IPR000210	BTB/POZ domain	24	0.836687430356126	1	6	18	582	1219	0.77593537414966
IPR000219	Dbl homology (DH) domain	13	0.842844453627803	1	3	10	585	1227	0.716248037676609
IPR000253	Forkhead-associated (FHA) domain	 5	0.857307655260915	1	1	4	587	1233	0.620748299319728
IPR000276	G protein-coupled receptor, rhodopsin-like	14	0.277909160736797	1	6	8	582	1229	1.3301749271137
IPR000299	FERM domain	 7	0.93463197732949	1	1	6	587	1231	0.443391642371234
IPR000306	FYVE zinc finger	 7	0.403651357316805	1	3	4	585	1233	1.3301749271137
IPR000315	B-box-type zinc finger	 7	0.716065948644015	1	2	5	586	1232	0.886783284742468
IPR000330	SNF2-related, N-terminal domain	 6	1	1	0	6	588	1231	0
IPR000340	Dual specificity phosphatase, catalytic domain	 7	0.716065948644015	1	2	5	586	1232	0.886783284742468
IPR000387	Tyrosine specific protein phosphatases domain	11	0.495501212418008	1	4	7	584	1230	1.12863327149041
IPR000504	RNA recognition motif domain	17	0.685723288980252	1	5	12	583	1225	0.912865146058423
IPR000569	HECT domain	 8	0.504352650230856	1	3	5	585	1232	1.16390306122449
IPR000571	Zinc finger, CCCH-type	 7	0.93463197732949	1	1	6	587	1231	0.443391642371234
IPR000608	Ubiquitin-conjugating enzyme E2	 8	0.786637048115067	1	2	6	586	1231	0.77593537414966
IPR000719	Protein kinase domain	55	0.999312424367293	1	8	47	580	1190	0.451453308596166
IPR000742	EGF-like domain	22	0.253846813677136	1	9	13	579	1224	1.26971243042672
IPR000772	Ricin B, lectin domain	 5	0.857307655260915	1	1	4	587	1233	0.620748299319728
IPR000859	CUB domain	 8	0.0765559168295592	1	5	3	583	1234	1.93983843537415
IPR000884	Thrombospondin type-1 (TSP1) repeat	11	0.105374189955884	1	6	5	582	1232	1.69294990723562
IPR000917	Sulfatase, N-terminal	 6	0.0150952049865118	0.816207725326586	5	1	583	1236	2.58645124716553
IPR000953	Chromo/chromo shadow domain	 5	1	1	0	5	588	1232	0
IPR000961	AGC-kinase, C-terminal	11	0.741949705706557	1	3	8	585	1229	0.846474953617811
IPR000980	SH2 domain	 9	0.595392087303034	1	3	6	585	1231	1.03458049886621
IPR000998	MAM domain	 6	0.90340825894585	1	1	5	587	1232	0.517290249433107
IPR001005	SANT/Myb domain	 5	0.517068001138524	1	2	3	586	1234	1.24149659863946
IPR001202	WW domain	 7	0.403651357316805	1	3	4	585	1233	1.3301749271137
IPR001214	SET domain	 7	0.15618589297814	1	4	3	584	1234	1.77356656948494
IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	 9	0.970086065647466	1	1	8	587	1229	0.344860166288738
IPR001304	C-type lectin-like	 5	0.857307655260915	1	1	4	587	1233	0.620748299319728
IPR001356	Homeobox domain	16	0.626055666300377	1	5	11	583	1226	0.969919217687075
IPR001394	Peptidase C19, ubiquitin carboxyl-terminal hydrolase	 6	0.90340825894585	1	1	5	587	1232	0.517290249433107
IPR001452	SH3 domain	27	0.523193544058006	1	9	18	579	1219	1.03458049886621
IPR001478	PDZ domain	20	0.298856687995956	1	8	12	580	1225	1.24149659863946
IPR001487	Bromodomain	10	0.410255170393588	1	4	6	584	1231	1.24149659863946
IPR001590	Peptidase M12B, ADAM/reprolysin	 7	0.403651357316805	1	3	4	585	1233	1.3301749271137
IPR001611	Leucine-rich repeat	25	0.942880084309828	1	5	20	583	1217	0.620748299319728
IPR001623	DnaJ domain	 5	0.193371604104742	1	3	2	585	1235	1.86224489795918
