Term	Accession	Genes (tot)	Stat (non-dir.) p	p adj (non-dir.)	Significant..in.gene.set.	Non.significant..in.gene.set.	Significant..not.in.gene.set.	Non.significant..not.in.gene.set.	effect.size
R-MMU-109581	Apoptosis	 28	0.658016706537923	1	11	17	1105	1565	0.949756784434204
R-MMU-109606	Intrinsic Pathway for Apoptosis	 12	0.803097846086588	1	4	8	1112	1574	0.805854241338112
R-MMU-109704	PI3K Cascade	 14	0.75535593423297	1	5	9	1111	1573	0.863415258576549
R-MMU-110312	Translesion synthesis by REV1	  7	0.0224914577322067	0.204576557032306	6	1	1110	1581	2.07219662058372
R-MMU-110313	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	 17	0.00350776993980538	0.0833095360703779	13	4	1103	1578	1.84872443601096
R-MMU-110314	Recognition of DNA damage by PCNA-containing replication complex	 11	0.000985923155185604	0.0430078740105845	10	1	1106	1581	2.19778429455849
R-MMU-110320	Translesion Synthesis by POLH	  8	0.010481253152426	0.133753305154093	7	1	1109	1581	2.11536738351254
R-MMU-110330	Recognition and association of DNA glycosylase with site containing an affected purine	  6	0.483971367792501	0.96470958015097	3	3	1113	1579	1.20878136200717
R-MMU-110331	Cleavage of the damaged purine	  6	0.483971367792501	0.96470958015097	3	3	1113	1579	1.20878136200717
R-MMU-110362	POLB-Dependent Long Patch Base Excision Repair	  6	0.198334547041878	0.637781142225093	4	2	1112	1580	1.61170848267622
R-MMU-110373	Resolution of AP sites via the multiple-nucleotide patch replacement pathway	 15	0.000400757778955112	0.0263575308466631	13	2	1103	1580	2.09522102747909
R-MMU-111465	Apoptotic cleavage of cellular proteins	 11	0.73550633891083	1	4	7	1112	1575	0.879113717823395
R-MMU-111885	Opioid Signalling	 20	0.788664438106733	1	7	13	1109	1569	0.846146953405018
R-MMU-111931	PKA-mediated phosphorylation of CREB	  5	1	1	0	5	1116	1577	0
R-MMU-111933	Calmodulin induced events	  6	0.959516247203722	1	1	5	1115	1577	0.402927120669056
R-MMU-111996	Ca-dependent events	  7	0.976299259135611	1	1	6	1115	1576	0.34536610343062
R-MMU-111997	CaM pathway	  6	0.959516247203722	1	1	5	1115	1577	0.402927120669056
R-MMU-112040	G-protein mediated events	 13	0.990281998481424	1	2	11	1114	1571	0.371932726771436
R-MMU-112043	PLC beta mediated events	 13	0.990281998481424	1	2	11	1114	1571	0.371932726771436
R-MMU-112310	Neurotransmitter release cycle	 13	0.855909477903239	1	4	9	1112	1573	0.743865453542873
R-MMU-112314	Neurotransmitter receptors and postsynaptic signal transmission	 38	0.99773918014124	1	8	30	1108	1552	0.508960573476703
R-MMU-112315	Transmission across Chemical Synapses	 56	0.996791818332827	1	14	42	1102	1540	0.604390681003584
R-MMU-112316	Neuronal System	 77	0.999752347174776	1	18	59	1098	1523	0.565144532886468
R-MMU-112382	Formation of RNA Pol II elongation complex 	 20	0.00895243842843652	0.123457013811504	14	6	1102	1576	1.69229390681004
R-MMU-112399	IRS-mediated signalling	 14	0.75535593423297	1	5	9	1111	1573	0.863415258576549
R-MMU-112409	RAF-independent MAPK1/3 activation	  5	0.34115295741719	0.847923774975864	3	2	1113	1580	1.4505376344086
R-MMU-113418	Formation of the Early Elongation Complex	 11	0.00760560311737475	0.10837984442259	9	2	1107	1580	1.97800586510264
R-MMU-113501	Inhibition of replication initiation of damaged DNA by RB1/E2F1	  5	0.68640428519162	1	2	3	1114	1579	0.967025089605735
R-MMU-113510	E2F mediated regulation of DNA replication	  5	0.68640428519162	1	2	3	1114	1579	0.967025089605735
R-MMU-114508	Effects of PIP2 hydrolysis	  6	0.483971367792501	0.96470958015097	3	3	1113	1579	1.20878136200717
R-MMU-114604	GPVI-mediated activation cascade	  9	0.551515975543526	1	4	5	1112	1577	1.07447232178415
R-MMU-114608	Platelet degranulation 	 56	0.0420514171320513	0.279524632089722	30	26	1086	1556	1.29512288786482
R-MMU-1168372	Downstream signaling events of B Cell Receptor (BCR)	 26	0.0680216659143363	0.374666063317349	15	11	1101	1571	1.39474772539289
R-MMU-1169091	Activation of NF-kappaB in B cells	 21	0.04596721596305	0.279524632089722	13	8	1103	1574	1.49658644819935
R-MMU-1169410	Antiviral mechanism by IFN-stimulated genes	  6	0.787620743891179	1	2	4	1114	1578	0.805854241338112
R-MMU-1187000	Fertilization	  7	0.858818175612384	1	2	5	1114	1577	0.690732206861239
R-MMU-1222556	ROS and RNS production in phagocytes	 11	0.277062974009743	0.808529353077987	6	5	1110	1577	1.31867057673509
R-MMU-1227986	Signaling by ERBB2	 16	0.860279151693992	1	5	11	1111	1571	0.75548835125448
R-MMU-1234174	Cellular response to hypoxia	 28	0.228464580735823	0.720473018997502	14	14	1102	1568	1.20878136200717
R-MMU-1234176	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	 27	0.179514467027553	0.628332645467974	14	13	1102	1569	1.25355104208151
R-MMU-1236394	Signaling by ERBB4	 12	0.600323324559313	1	5	7	1111	1575	1.00731780167264
R-MMU-1236974	ER-Phagosome pathway	  7	0.109762728274573	0.463551162241478	5	2	1111	1580	1.7268305171531
R-MMU-1236975	Antigen processing-Cross presentation	 29	0.0191861474329476	0.190554440460904	18	11	1098	1571	1.50055617352614
R-MMU-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	 20	0.0717560110160387	0.374666063317349	12	8	1104	1574	1.4505376344086
R-MMU-1250196	SHC1 events in ERBB2 signaling	  6	0.483971367792501	0.96470958015097	3	3	1113	1579	1.20878136200717
R-MMU-1250347	SHC1 events in ERBB4 signaling	  6	0.787620743891179	1	2	4	1114	1578	0.805854241338112
R-MMU-1257604	PIP3 activates AKT signaling	 85	0.556256508741351	1	35	50	1081	1532	0.995467004005903
R-MMU-1266695	Interleukin-7 signaling	  5	0.68640428519162	1	2	3	1114	1579	0.967025089605735
R-MMU-1296041	Activation of G protein gated Potassium channels	  5	0.68640428519162	1	2	3	1114	1579	0.967025089605735
R-MMU-1296059	G protein gated Potassium channels	  5	0.68640428519162	1	2	3	1114	1579	0.967025089605735
R-MMU-1296065	Inwardly rectifying K+ channels	  6	0.787620743891179	1	2	4	1114	1578	0.805854241338112
R-MMU-1296071	Potassium Channels	 18	0.975103691700444	1	4	14	1112	1568	0.537236160892075
R-MMU-1296072	Voltage gated Potassium channels	  5	1	1	0	5	1116	1577	0
