Term	Accession	Genes (tot)	Stat (non-dir.) p	p adj (non-dir.)	Significant..in.gene.set.	Non.significant..in.gene.set.	Significant..not.in.gene.set.	Non.significant..not.in.gene.set.	effect.size
GO:0002042	cell migration involved in sprouting angiogenesis	  8	0.131659634381745	0.710114109470648	5	3	1616	2747	1.68530228254164
GO:0002052	positive regulation of neuroblast proliferation	 10	0.295751712156876	0.928961961772567	5	5	1616	2745	1.34824182603331
GO:0002053	positive regulation of mesenchymal cell proliferation	 10	0.781377725261973	1	3	7	1618	2743	0.808945095619988
GO:0002062	chondrocyte differentiation	 16	0.206480619691051	0.874292856505159	8	8	1613	2742	1.34824182603331
GO:0002063	chondrocyte development	  6	0.718815878456455	1	2	4	1619	2746	0.898827884022209
GO:0002070	epithelial cell maturation	  6	0.718815878456455	1	2	4	1619	2746	0.898827884022209
GO:0002076	osteoblast development	  6	0.718815878456455	1	2	4	1619	2746	0.898827884022209
GO:0002080	acrosomal membrane	  6	0.395387391728158	0.98536875238176	3	3	1618	2747	1.34824182603331
GO:0002082	regulation of oxidative phosphorylation	  6	0.00258631209375338	0.140144134524929	6	0	1615	2750	2.69648365206663
GO:0002088	lens development in camera-type eye	 11	0.954443776392988	1	2	9	1619	2741	0.490269754921205
GO:0002089	lens morphogenesis in camera-type eye	  5	0.611006382880356	1	2	3	1619	2747	1.07859346082665
GO:0002092	positive regulation of receptor internalization	  6	0.718815878456455	1	2	4	1619	2746	0.898827884022209
GO:0002102	podosome	 11	0.387196429366767	0.98536875238176	5	6	1616	2744	1.22567438730301
GO:0002161	aminoacyl-tRNA editing activity	  5	0.0664052440141702	0.528541035757744	4	1	1617	2749	2.1571869216533
GO:0002218	activation of innate immune response	 12	0.969116020269325	1	2	10	1619	2740	0.449413942011104
GO:0002230	positive regulation of defense response to virus by host	  8	0.131659634381745	0.710114109470648	5	3	1616	2747	1.68530228254164
GO:0002244	hematopoietic progenitor cell differentiation	 20	0.0103175860786736	0.256683598009436	13	7	1608	2743	1.75271437384331
GO:0002250	adaptive immune response	 24	0.973560997810275	1	5	19	1616	2731	0.56176742751388
GO:0002260	lymphocyte homeostasis	  6	0.938108378346802	1	1	5	1620	2745	0.449413942011104
GO:0002281	macrophage activation involved in immune response	  5	0.611006382880356	1	2	3	1619	2747	1.07859346082665
GO:0002437	inflammatory response to antigenic stimulus	  6	0.718815878456455	1	2	4	1619	2746	0.898827884022209
GO:0002523	leukocyte migration involved in inflammatory response	  6	0.141228566336525	0.710114109470648	4	2	1617	2748	1.79765576804442
GO:0002526	acute inflammatory response	  7	0.961092643799227	1	1	6	1620	2744	0.385211950295232
GO:0002548	monocyte chemotaxis	  7	0.515348610516959	1	3	4	1618	2746	1.1556358508857
GO:0002639	positive regulation of immunoglobulin production	  6	1	1	0	6	1621	2744	0
GO:0002687	positive regulation of leukocyte migration	  8	0.9755447117189	1	1	7	1620	2743	0.337060456508328
GO:0002741	positive regulation of cytokine secretion involved in immune response	  5	0.268307979032342	0.874292856505159	3	2	1618	2748	1.61789019123998
GO:0002931	response to ischemia	 20	0.0782566299955145	0.568254361464891	11	9	1610	2741	1.48306600863664
GO:0003007	heart morphogenesis	 19	0.241559397610987	0.874292856505159	9	10	1612	2740	1.2772817299263
GO:0003009	skeletal muscle contraction	 13	0.00407686358616247	0.191685096515127	10	3	1611	2747	2.0742181938974
GO:0003016	respiratory system process	  5	0.268307979032342	0.874292856505159	3	2	1618	2748	1.61789019123998
GO:0003073	regulation of systemic arterial blood pressure	 10	0.990342195753722	1	1	9	1620	2741	0.269648365206663
GO:0003084	positive regulation of systemic arterial blood pressure	  5	1	1	0	5	1621	2745	0
GO:0003148	outflow tract septum morphogenesis	  9	0.902857070547847	1	2	7	1619	2743	0.599218589348139
GO:0003149	membranous septum morphogenesis	  5	0.611006382880356	1	2	3	1619	2747	1.07859346082665
GO:0003151	outflow tract morphogenesis	 23	0.100738784655249	0.680879267821798	12	11	1609	2739	1.40686103586085
GO:0003180	aortic valve morphogenesis	  7	0.515348610516959	1	3	4	1618	2746	1.1556358508857
GO:0003184	pulmonary valve morphogenesis	  6	0.0289935828529927	0.448381840769795	5	1	1616	2749	2.24706971005552
GO:0003197	endocardial cushion development	  5	0.0664052440141702	0.528541035757744	4	1	1617	2749	2.1571869216533
GO:0003198	epithelial to mesenchymal transition involved in endocardial cushion formation	  7	0.515348610516959	1	3	4	1618	2746	1.1556358508857
GO:0003203	endocardial cushion morphogenesis	  5	0.611006382880356	1	2	3	1619	2747	1.07859346082665
GO:0003208	cardiac ventricle morphogenesis	  5	0.611006382880356	1	2	3	1619	2747	1.07859346082665
GO:0003214	cardiac left ventricle morphogenesis	  5	0.611006382880356	1	2	3	1619	2747	1.07859346082665
GO:0003222	ventricular trabecula myocardium morphogenesis	  6	0.938108378346802	1	1	5	1620	2745	0.449413942011104
GO:0003281	ventricular septum development	 10	0.295751712156876	0.928961961772567	5	5	1616	2745	1.34824182603331
GO:0003333	amino acid transmembrane transport	  6	0.718815878456455	1	2	4	1619	2746	0.898827884022209
GO:0003341	cilium movement	  5	1	1	0	5	1621	2745	0
GO:0003382	epithelial cell morphogenesis	  6	0.718815878456455	1	2	4	1619	2746	0.898827884022209
GO:0003407	neural retina development	  6	0.718815878456455	1	2	4	1619	2746	0.898827884022209
GO:0003429	growth plate cartilage chondrocyte morphogenesis	  5	0.0664052440141702	0.528541035757744	4	1	1617	2749	2.1571869216533
GO:0003678	DNA helicase activity	 16	0.579969549388792	1	6	10	1615	2740	1.01118136952498
GO:0003680	AT DNA binding	  5	0.268307979032342	0.874292856505159	3	2	1618	2748	1.61789019123998
GO:0003684	damaged DNA binding	 18	0.185113328194816	0.848800072337835	9	9	1612	2741	1.34824182603331
GO:0003688	DNA replication origin binding	 12	0.0086204369847812	0.25166398176999	9	3	1612	2747	2.02236273904997
GO:0003689	DNA clamp loader activity	  5	0.901559628365078	1	1	4	1620	2746	0.539296730413325
GO:0003690	double-stranded DNA binding	 51	0.757063167373977	1	17	34	1604	2716	0.898827884022209
GO:0003697	single-stranded DNA binding	 42	0.104994534520707	0.69857991456684	20	22	1601	2728	1.28403983431744
GO:0003707	steroid hormone receptor activity	 11	0.993932037689796	1	1	10	1620	2740	0.245134877460602
GO:0003712	transcription coregulator activity	 31	0.999900041647277	1	3	28	1618	2722	0.260950030845157
GO:0003713	transcription coactivator activity	 63	0.940583897448777	1	18	45	1603	2705	0.770423900590465
GO:0003714	transcription corepressor activity	 73	0.139938588948226	0.710114109470648	32	41	1589	2709	1.1820202310429
GO:0003724	RNA helicase activity	 20	0.81170571475781	1	6	14	1615	2736	0.808945095619988
GO:0003725	double-stranded RNA binding	 25	0.876654794643343	1	7	18	1614	2732	0.755015422578655
GO:0003727	single-stranded RNA binding	 18	0.71158646990997	1	6	12	1615	2738	0.898827884022208
GO:0003729	mRNA binding	 68	0.994376461207623	1	16	52	1605	2698	0.634466741662735
GO:0003730	mRNA 3	 28	0.76746206421238	1	9	19	1612	2731	0.866726888164273
GO:0003735	structural constituent of ribosome	 28	0.76746206421238	1	9	19	1612	2731	0.866726888164273
GO:0003743	translation initiation factor activity	 13	0.913779546461806	1	3	10	1618	2740	0.622265458169221
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	 12	0.47763441574499	1	5	7	1616	2743	1.12353485502776
GO:0003756	protein disulfide isomerase activity	  9	0.0701198146538523	0.528541035757744	6	3	1615	2747	1.79765576804442
GO:0003774	motor activity	 28	0.201788078320367	0.874292856505159	13	15	1608	2735	1.2519388384595
GO:0003777	microtubule motor activity	 18	0.52551977682233	1	7	11	1614	2739	1.04863253135924
GO:0003785	actin monomer binding	 11	0.00321305535630131	0.155805955497933	9	2	1612	2748	2.20621389714542
GO:0003887	DNA-directed DNA polymerase activity	  9	0.4437258909147	1	4	5	1617	2745	1.19843717869628
GO:0003899	DNA-directed 5	 11	0.631049008593145	1	4	7	1617	2743	0.980539509842409
GO:0003924	GTPase activity	 85	0.498272168622059	1	32	53	1589	2697	1.01514678666038
GO:0003950	NAD+ ADP-ribosyltransferase activity	  6	0.718815878456455	1	2	4	1619	2746	0.898827884022209
GO:0003954	NADH dehydrogenase activity	  6	0.718815878456455	1	2	4	1619	2746	0.898827884022209
GO:0003996	acyl-CoA ligase activity	  5	0.268307979032342	0.874292856505159	3	2	1618	2748	1.61789019123998
GO:0004089	carbonate dehydratase activity	  7	0.235439100009758	0.874292856505159	4	3	1617	2747	1.54084780118093
GO:0004175	endopeptidase activity	 32	0.806501478523479	1	10	22	1611	2728	0.842651141270821
GO:0004177	aminopeptidase activity	  7	0.515348610516959	1	3	4	1618	2746	1.1556358508857
GO:0004180	carboxypeptidase activity	  9	0.4437258909147	1	4	5	1617	2745	1.19843717869628
GO:0004181	metallocarboxypeptidase activity	  7	0.800202785632254	1	2	5	1619	2745	0.770423900590465
GO:0004190	aspartic-type endopeptidase activity	  6	0.718815878456455	1	2	4	1619	2746	0.898827884022209
GO:0004197	cysteine-type endopeptidase activity	 26	0.958595084031111	1	6	20	1615	2730	0.622265458169221
GO:0004198	calcium-dependent cysteine-type endopeptidase activity	  6	0.395387391728158	0.98536875238176	3	3	1618	2747	1.34824182603331
GO:0004222	metalloendopeptidase activity	 22	0.76529826235933	1	7	15	1614	2735	0.857972071112108
GO:0004252	serine-type endopeptidase activity	 45	0.98948720598939	1	10	35	1611	2715	0.599218589348139
GO:0004364	glutathione transferase activity	  8	0.339218565637772	0.969924578864316	4	4	1617	2746	1.34824182603331
GO:0004386	helicase activity	 36	0.736122283810806	1	12	24	1609	2726	0.898827884022208
GO:0004402	histone acetyltransferase activity	  7	0.961092643799227	1	1	6	1620	2744	0.385211950295232
GO:0004407	histone deacetylase activity	 10	0.542375343419917	1	4	6	1617	2744	1.07859346082665
GO:0004467	long-chain fatty acid-CoA ligase activity	  6	0.395387391728158	0.98536875238176	3	3	1618	2747	1.34824182603331
GO:0004497	monooxygenase activity	 24	0.973560997810275	1	5	19	1616	2731	0.56176742751388
GO:0004518	nuclease activity	 31	0.22544283844604	0.874292856505159	14	17	1607	2733	1.21776681061073
GO:0004519	endonuclease activity	 22	0.071637525527402	0.530971400346884	12	10	1609	2740	1.47080926476361
GO:0004521	endoribonuclease activity	  5	0.611006382880356	1	2	3	1619	2747	1.07859346082665
