Term	Accession	Genes (tot)	Stat (non-dir.) p	p adj (non-dir.)	Significant..in.gene.set.	Non.significant..in.gene.set.	Significant..not.in.gene.set.	Non.significant..not.in.gene.set.	effect.size
IPR000008	C2 domain	31	0.961604753122063	1	8	23	1892	2908	0.65616298811545
IPR000010	Cystatin domain	10	0.821922199846661	1	3	7	1897	2924	0.762789473684211
IPR000014	PAS domain	11	0.687870996189664	1	4	7	1896	2924	0.924593301435407
IPR000033	LDLR class B repeat	 7	0.276796805287287	1	4	3	1896	2928	1.45293233082707
IPR000047	Helix-turn-helix motif	 9	0.92407091209593	1	2	7	1898	2924	0.565029239766082
IPR000048	IQ motif, EF-hand binding site	18	0.96313704188055	1	4	14	1896	2917	0.565029239766082
IPR000072	PDGF/VEGF domain	 5	0.00937981998919237	0.475603628258355	5	0	1895	2931	2.54263157894737
IPR000073	Alpha/beta hydrolase fold-1	11	0.448708336587189	1	5	6	1895	2925	1.15574162679426
IPR000086	NUDIX hydrolase domain	 7	0.565496371850681	1	3	4	1897	2927	1.0896992481203
IPR000152	EGF-type aspartate/asparagine hydroxylation site	30	0.0838815126937741	0.869205506752586	16	14	1884	2917	1.3560701754386
IPR000159	Ras-associating (RA) domain	12	0.146342408516704	0.949223627164111	7	5	1893	2926	1.48320175438596
IPR000169	Cysteine peptidase, cysteine active site	 7	0.276796805287287	1	4	3	1896	2928	1.45293233082707
IPR000182	GNAT domain	 7	0.832627129911078	1	2	5	1898	2926	0.726466165413534
IPR000195	Rab-GTPase-TBC domain	 8	0.886636568695263	1	2	6	1898	2925	0.635657894736842
IPR000198	Rho GTPase-activating protein domain	16	0.979330674425353	1	3	13	1897	2918	0.476743421052632
IPR000203	GPS motif	 8	0.981710733108858	1	1	7	1899	2924	0.317828947368421
IPR000210	BTB/POZ domain	34	0.742608182967066	1	12	22	1888	2909	0.897399380804954
IPR000215	Serpin family	 9	0.500563707089716	1	4	5	1896	2926	1.13005847953216
IPR000217	Tubulin	 9	0.252528046397477	1	5	4	1895	2927	1.4125730994152
IPR000219	Dbl homology (DH) domain	19	0.922613690776701	1	5	14	1895	2917	0.669113573407202
IPR000225	Armadillo	12	0.542785598538702	1	5	7	1895	2924	1.0594298245614
IPR000233	Cadherin, cytoplasmic domain	 6	0.441767986180655	1	3	3	1897	2928	1.27131578947368
IPR000242	PTP type protein phosphatase	 8	0.670598813558524	1	3	5	1897	2926	0.953486842105263
IPR000253	Forkhead-associated (FHA) domain	12	0.542785598538702	1	5	7	1895	2924	1.0594298245614
IPR000261	EH domain	 5	0.305841424054544	1	3	2	1897	2929	1.52557894736842
IPR000276	G protein-coupled receptor, rhodopsin-like	71	0.999999999995032	1	4	67	1896	2864	0.143246849518162
IPR000294	Gamma-carboxyglutamic acid-rich (GLA) domain	 5	0.651458699513243	1	2	3	1898	2928	1.01705263157895
IPR000299	FERM domain	 9	0.92407091209593	1	2	7	1898	2924	0.565029239766082
IPR000301	Tetraspanin	 8	0.390325635670943	1	4	4	1896	2927	1.27131578947368
IPR000306	FYVE zinc finger	10	0.821922199846661	1	3	7	1897	2924	0.762789473684211
IPR000315	B-box-type zinc finger	16	0.450632443976974	1	7	9	1893	2922	1.11240131578947
IPR000326	Phosphatidic acid phosphatase type 2/haloperoxidase	 7	0.276796805287287	1	4	3	1896	2928	1.45293233082707
IPR000327	POU-specific domain	 5	1	1	0	5	1900	2926	0
IPR000330	SNF2-related, N-terminal domain	 9	0.500563707089716	1	4	5	1896	2926	1.13005847953216
IPR000333	Ser/Thr protein kinase, TGFB receptor	 9	1	1	0	9	1900	2922	0
IPR000340	Dual specificity phosphatase, catalytic domain	11	0.687870996189664	1	4	7	1896	2924	0.924593301435407
IPR000355	Chemokine receptor family	 7	1	1	0	7	1900	2924	0
IPR000372	Leucine-rich repeat N-terminal domain	10	0.350055133222962	1	5	5	1895	2926	1.27131578947368
IPR000387	Tyrosine specific protein phosphatases domain	19	0.670856489430442	1	7	12	1893	2919	0.936759002770083
IPR000408	Regulator of chromosome condensation, RCC1	10	0.155000959571993	0.949223627164111	6	4	1894	2927	1.52557894736842
IPR000413	Integrin alpha chain	 8	0.16326797490363	0.949223627164111	5	3	1895	2928	1.58914473684211
IPR000418	Ets domain	 9	0.92407091209593	1	2	7	1898	2924	0.565029239766082
IPR000421	Coagulation factor 5/8 C-terminal domain	 8	0.390325635670943	1	4	4	1896	2927	1.27131578947368
IPR000433	Zinc finger, ZZ-type	 6	0.950226557893433	1	1	5	1899	2926	0.423771929824561
IPR000436	Sushi/SCR/CCP domain	16	0.651219801299814	1	6	10	1894	2921	0.953486842105263
IPR000467	G-patch domain	 7	0.832627129911078	1	2	5	1898	2926	0.726466165413534
IPR000472	Activin types I and II receptor domain	 6	1	1	0	6	1900	2925	0
IPR000483	Cysteine-rich flanking region, C-terminal	14	0.703443963526281	1	5	9	1895	2922	0.908082706766917
IPR000488	Death domain	 9	0.755616366792928	1	3	6	1897	2925	0.847543859649123
IPR000500	Connexin	 7	0.969826462557159	1	1	6	1899	2925	0.363233082706767
IPR000504	RNA recognition motif domain	78	0.513246208392876	1	31	47	1869	2884	1.0105330634278
IPR000536	Nuclear hormone receptor, ligand-binding domain	20	0.995777455068537	1	3	17	1897	2914	0.381394736842105
