Term	Accession	Genes (tot)	Stat (non-dir.) p	p adj (non-dir.)	Significant..in.gene.set.	Non.significant..in.gene.set.	Significant..not.in.gene.set.	Non.significant..not.in.gene.set.	effect.size
GO:0000030	mannosyltransferase activity	 6	1	1	0	6	249	948	0
GO:0000049	tRNA binding	 5	0.687054425491099	1	1	4	248	950	0.966265060240964
GO:0000070	mitotic sister chromatid segregation	 6	0.0189268305394769	1	4	2	245	952	3.22088353413655
GO:0000086	G2/M transition of mitotic cell cycle	 5	1	1	0	5	249	949	0
GO:0000122	negative regulation of transcription by RNA polymerase II	66	0.632412324471711	1	13	53	236	901	0.951624680540343
GO:0000139	Golgi membrane	33	0.541050487774811	1	7	26	242	928	1.02482657904345
GO:0000151	ubiquitin ligase complex	 5	0.687054425491099	1	1	4	248	950	0.966265060240964
GO:0000165	MAPK cascade	 7	1	1	0	7	249	947	0
GO:0000186	activation of MAPKK activity	 5	0.687054425491099	1	1	4	248	950	0.966265060240964
GO:0000187	activation of MAPK activity	 7	1	1	0	7	249	947	0
GO:0000209	protein polyubiquitination	11	0.922928562642289	1	1	10	248	944	0.43921139101862
GO:0000226	microtubule cytoskeleton organization	 7	0.803667410040068	1	1	6	248	948	0.690189328743546
GO:0000278	mitotic cell cycle	 8	0.517540566979733	1	2	6	247	948	1.2078313253012
GO:0000287	magnesium ion binding	20	0.81688747327831	1	3	17	246	937	0.724698795180723
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	 6	0.752099039892365	1	1	5	248	949	0.805220883534137
GO:0000398	mRNA splicing, via spliceosome	10	0.902599338169757	1	1	9	248	945	0.483132530120482
GO:0000724	double-strand break repair via homologous recombination	 5	0.687054425491099	1	1	4	248	950	0.966265060240964
GO:0000775	chromosome, centromeric region	11	0.00231074395442135	0.669515286845052	7	4	242	950	3.07447973713034
GO:0000776	kinetochore	11	0.0566239678792248	1	5	6	244	948	2.1960569550931
GO:0000777	condensed chromosome kinetochore	 9	0.0221727542885775	1	5	4	244	950	2.68406961178046
GO:0000781	chromosome, telomeric region	 7	1	1	0	7	249	947	0
GO:0000784	nuclear chromosome, telomeric region	 8	0.844542673334402	1	1	7	248	947	0.603915662650602
GO:0000785	chromatin	16	0.875069035371912	1	2	14	247	940	0.603915662650602
GO:0000790	nuclear chromatin	23	0.995436242165516	1	1	22	248	932	0.210057621791514
GO:0000792	heterochromatin	 5	0.276931014687328	1	2	3	247	951	1.93253012048193
GO:0000902	cell morphogenesis	 5	0.687054425491099	1	1	4	248	950	0.966265060240964
GO:0000922	spindle pole	15	0.181454851310688	1	5	10	244	944	1.61044176706827
GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding	33	0.541050487774811	1	7	26	242	928	1.02482657904345
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	41	0.334614197765295	1	10	31	239	923	1.1783720246841
GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding	 6	1	1	0	6	249	948	0
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	27	0.176909880663616	1	8	19	241	935	1.43150379294958
GO:0000987	cis-regulatory region sequence-specific DNA binding	10	0.902599338169757	1	1	9	248	945	0.483132530120482
GO:0001102	RNA polymerase II activating transcription factor binding	 6	1	1	0	6	249	948	0
GO:0001103	RNA polymerase II repressing transcription factor binding	 8	1	1	0	8	249	946	0
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	16	0.429963912094031	1	4	12	245	942	1.2078313253012
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	32	0.67850682408067	1	6	26	243	928	0.905873493975904
GO:0001501	skeletal system development	 6	0.107130337092445	1	3	3	246	951	2.41566265060241
GO:0001503	ossification	 9	0.094361981783437	1	4	5	245	949	2.14725568942436
GO:0001525	angiogenesis	24	0.902559620457608	1	3	21	246	933	0.603915662650602
GO:0001540	amyloid-beta binding	 5	1	1	0	5	249	949	0
GO:0001568	blood vessel development	 7	0.803667410040068	1	1	6	248	948	0.690189328743546
GO:0001569	branching involved in blood vessel morphogenesis	 5	0.687054425491099	1	1	4	248	950	0.966265060240964
GO:0001570	vasculogenesis	 6	0.36183135348477	1	2	4	247	950	1.61044176706827
GO:0001649	osteoblast differentiation	 5	0.687054425491099	1	1	4	248	950	0.966265060240964
GO:0001650	fibrillar center	11	0.69930709344444	1	2	9	247	945	0.87842278203724
GO:0001657	ureteric bud development	 5	0.276931014687328	1	2	3	247	951	1.93253012048193
GO:0001658	branching involved in ureteric bud morphogenesis	 5	0.276931014687328	1	2	3	247	951	1.93253012048193
GO:0001662	behavioral fear response	 5	0.687054425491099	1	1	4	248	950	0.966265060240964
GO:0001666	response to hypoxia	16	0.429963912094031	1	4	12	245	942	1.2078313253012
GO:0001701	in utero embryonic development	25	0.0547640068094273	1	9	16	240	938	1.73927710843374
GO:0001725	stress fiber	11	0.176035306935277	1	4	7	245	947	1.75684556407448
GO:0001726	ruffle	 6	1	1	0	6	249	948	0
GO:0001755	neural crest cell migration	 7	1	1	0	7	249	947	0
GO:0001756	somitogenesis	 7	0.803667410040068	1	1	6	248	948	0.690189328743546
GO:0001764	neuron migration	 9	0.876935036798614	1	1	8	248	946	0.536813922356091
GO:0001786	phosphatidylserine binding	 5	0.687054425491099	1	1	4	248	950	0.966265060240964
GO:0001822	kidney development	12	0.00457530995811562	0.807542207607408	7	5	242	949	2.81827309236948
GO:0001837	epithelial to mesenchymal transition	 5	0.276931014687328	1	2	3	247	951	1.93253012048193
GO:0001843	neural tube closure	 7	1	1	0	7	249	947	0
GO:0001889	liver development	 6	0.752099039892365	1	1	5	248	949	0.805220883534137
GO:0001892	embryonic placenta development	 5	0.687054425491099	1	1	4	248	950	0.966265060240964
GO:0001932	regulation of protein phosphorylation	 7	0.803667410040068	1	1	6	248	948	0.690189328743546
GO:0001933	negative regulation of protein phosphorylation	10	0.343193530270208	1	3	7	246	947	1.44939759036145
GO:0001934	positive regulation of protein phosphorylation	18	0.309497267105709	1	5	13	244	941	1.34203480589023
GO:0001942	hair follicle development	 7	0.803667410040068	1	1	6	248	948	0.690189328743546
GO:0001947	heart looping	 5	1	1	0	5	249	949	0
GO:0001953	negative regulation of cell-matrix adhesion	 5	0.687054425491099	1	1	4	248	950	0.966265060240964
GO:0002039	p53 binding	 6	1	1	0	6	249	948	0
