Term	Accession	Genes (tot)	Stat (non-dir.) p	p adj (non-dir.)	Significant..in.gene.set.	Non.significant..in.gene.set.	Significant..not.in.gene.set.	Non.significant..not.in.gene.set.	effect.size
GO:0000030	mannosyltransferase activity	  5	1	1	0	5	592	1236	0
GO:0000045	autophagosome assembly	 11	0.497757440223783	1	4	7	588	1234	1.12592137592138
GO:0000049	tRNA binding	  5	0.51862524218769	1	2	3	590	1238	1.23851351351351
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	  5	0.51862524218769	1	2	3	590	1238	1.23851351351351
GO:0000122	negative regulation of transcription by RNA polymerase II	 77	0.62869458736442	1	24	53	568	1188	0.965075465075465
GO:0000123	histone acetyltransferase complex	  7	1	1	0	7	592	1234	0
GO:0000139	Golgi membrane	 58	0.821179428950103	1	16	42	576	1199	0.854147250698975
GO:0000149	SNARE binding	  5	0.51862524218769	1	2	3	590	1238	1.23851351351351
GO:0000151	ubiquitin ligase complex	 10	0.676639667427998	1	3	7	589	1234	0.928885135135135
GO:0000165	MAPK cascade	  9	1	1	0	9	592	1232	0
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	  5	1	1	0	5	592	1236	0
GO:0000186	activation of MAPKK activity	  7	0.935153769880156	1	1	6	591	1235	0.442326254826255
GO:0000187	activation of MAPK activity	  9	0.128860368259152	1	5	4	587	1237	1.72015765765766
GO:0000209	protein polyubiquitination	 19	0.246026187550094	1	8	11	584	1230	1.30369843527738
GO:0000226	microtubule cytoskeleton organization	 13	0.84424880882489	1	3	10	589	1231	0.714527027027027
GO:0000278	mitotic cell cycle	 13	0.84424880882489	1	3	10	589	1231	0.714527027027027
GO:0000287	magnesium ion binding	 25	0.981339209019289	1	4	21	588	1220	0.495405405405405
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	  7	0.717564476263447	1	2	5	590	1236	0.88465250965251
GO:0000398	mRNA splicing, via spliceosome	 10	0.676639667427998	1	3	7	589	1234	0.928885135135135
GO:0000407	phagophore assembly site	  5	0.858122331328609	1	1	4	591	1237	0.619256756756757
GO:0000413	protein peptidyl-prolyl isomerization	  6	0.299103601397446	1	3	3	589	1238	1.54814189189189
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	  5	0.51862524218769	1	2	3	590	1238	1.23851351351351
GO:0000724	double-strand break repair via homologous recombination	  6	0.904069585077768	1	1	5	591	1236	0.516047297297297
GO:0000775	chromosome, centromeric region	 20	0.928402843594963	1	4	16	588	1225	0.619256756756757
GO:0000776	kinetochore	 20	1	1	0	20	592	1221	0
GO:0000777	condensed chromosome kinetochore	 15	1	1	0	15	592	1226	0
GO:0000781	chromosome, telomeric region	  6	0.904069585077768	1	1	5	591	1236	0.516047297297297
GO:0000784	nuclear chromosome, telomeric region	  5	0.858122331328609	1	1	4	591	1237	0.619256756756757
GO:0000785	chromatin	 17	0.292345979802515	1	7	10	585	1231	1.27494038155803
GO:0000786	nucleosome	  5	0.858122331328609	1	1	4	591	1237	0.619256756756757
GO:0000790	nuclear chromatin	 20	0.301526222062565	1	8	12	584	1229	1.23851351351351
GO:0000792	heterochromatin	  7	0.717564476263447	1	2	5	590	1236	0.88465250965251
GO:0000902	cell morphogenesis	  8	0.506290753600563	1	3	5	589	1236	1.16110641891892
GO:0000922	spindle pole	 20	0.0749386827860445	0.91997351348839	10	10	582	1231	1.54814189189189
GO:0000932	P-body	  9	0.842454396339836	1	2	7	590	1234	0.688063063063063
GO:0000976	transcription regulatory region sequence-specific DNA binding	  6	0.904069585077768	1	1	5	591	1236	0.516047297297297
GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding	 33	0.514965465208388	1	11	22	581	1219	1.03209459459459
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	 46	0.982469591063321	1	9	37	583	1204	0.605794653349001
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	 27	0.526679399770015	1	9	18	583	1223	1.03209459459459
GO:0000987	cis-regulatory region sequence-specific DNA binding	 11	0.743720502629578	1	3	8	589	1233	0.844441031941032
GO:0001085	RNA polymerase II transcription factor binding	  5	0.858122331328609	1	1	4	591	1237	0.619256756756757
GO:0001102	RNA polymerase II activating transcription factor binding	  6	0.904069585077768	1	1	5	591	1236	0.516047297297297
GO:0001103	RNA polymerase II repressing transcription factor binding	  9	0.970392664332726	1	1	8	591	1233	0.344031531531532
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	 23	0.476714598958629	1	8	15	584	1226	1.07696827262045
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	 37	0.992278657780987	1	6	31	586	1210	0.502100073046019
GO:0001501	skeletal system development	  6	0.0898664962823503	0.91997351348839	4	2	588	1239	2.06418918918919
GO:0001503	ossification	  8	0.506290753600563	1	3	5	589	1236	1.16110641891892
GO:0001525	angiogenesis	 30	0.234725527492843	1	12	18	580	1223	1.23851351351351
GO:0001540	amyloid-beta binding	  6	0.904069585077768	1	1	5	591	1236	0.516047297297297
GO:0001541	ovarian follicle development	  6	0.904069585077768	1	1	5	591	1236	0.516047297297297
GO:0001558	regulation of cell growth	  7	0.405440028381225	1	3	4	589	1237	1.32697876447876
GO:0001568	blood vessel development	  7	0.935153769880156	1	1	6	591	1235	0.442326254826255
GO:0001569	branching involved in blood vessel morphogenesis	  5	0.858122331328609	1	1	4	591	1237	0.619256756756757
GO:0001570	vasculogenesis	  6	0.628386062582812	1	2	4	590	1237	1.03209459459459
GO:0001649	osteoblast differentiation	  8	0.0164674043942052	0.60563453938688	6	2	586	1239	2.32221283783784
GO:0001650	fibrillar center	 13	0.95532016060403	1	2	11	590	1230	0.476351351351351
GO:0001657	ureteric bud development	  8	0.506290753600563	1	3	5	589	1236	1.16110641891892
GO:0001658	branching involved in ureteric bud morphogenesis	  6	0.0152656155845349	0.60563453938688	5	1	587	1240	2.58023648648649
GO:0001666	response to hypoxia	 18	0.740866375504969	1	5	13	587	1228	0.860078828828829
GO:0001669	acrosomal vesicle	  7	0.717564476263447	1	2	5	590	1236	0.88465250965251
GO:0001701	in utero embryonic development	 31	0.569900534430097	1	10	21	582	1220	0.998801220575414
GO:0001725	stress fiber	 12	0.338731925671629	1	5	7	587	1234	1.29011824324324
GO:0001726	ruffle	 13	0.415755815751256	1	5	8	587	1233	1.19087837837838
GO:0001750	photoreceptor outer segment	  5	0.51862524218769	1	2	3	590	1238	1.23851351351351
GO:0001755	neural crest cell migration	  8	0.787989050484408	1	2	6	590	1235	0.774070945945946
GO:0001756	somitogenesis	  8	0.787989050484408	1	2	6	590	1235	0.774070945945946
GO:0001764	neuron migration	 14	0.712224436472029	1	4	10	588	1231	0.88465250965251
GO:0001786	phosphatidylserine binding	  7	0.717564476263447	1	2	5	590	1236	0.88465250965251
GO:0001819	positive regulation of cytokine production	  5	0.51862524218769	1	2	3	590	1238	1.23851351351351
GO:0001822	kidney development	  9	0.00668613385473539	0.510717762904018	7	2	585	1239	2.40822072072072
GO:0001835	blastocyst hatching	  6	0.628386062582812	1	2	4	590	1237	1.03209459459459
GO:0001837	epithelial to mesenchymal transition	  5	0.51862524218769	1	2	3	590	1238	1.23851351351351
GO:0001843	neural tube closure	 10	0.191816088098128	1	5	5	587	1236	1.54814189189189
GO:0001889	liver development	  5	0.194485048839898	1	3	2	589	1239	1.85777027027027
GO:0001932	regulation of protein phosphorylation	  6	0.628386062582812	1	2	4	590	1237	1.03209459459459
GO:0001933	negative regulation of protein phosphorylation	 10	0.883908078567796	1	2	8	590	1233	0.619256756756757
GO:0001934	positive regulation of protein phosphorylation	 22	0.00833161409771076	0.59094948564477	13	9	579	1232	1.82962223587224
GO:0001938	positive regulation of endothelial cell proliferation	  8	0.237355486348997	1	4	4	588	1237	1.54814189189189
GO:0001942	hair follicle development	  6	0.0898664962823503	0.91997351348839	4	2	588	1239	2.06418918918919
GO:0001947	heart looping	  7	0.717564476263447	1	2	5	590	1236	0.88465250965251
GO:0001974	blood vessel remodeling	  7	0.405440028381225	1	3	4	589	1237	1.32697876447876
GO:0002020	protease binding	 10	0.191816088098128	1	5	5	587	1236	1.54814189189189
GO:0002039	p53 binding	  7	0.935153769880156	1	1	6	591	1235	0.442326254826255
GO:0002040	sprouting angiogenesis	  7	0.717564476263447	1	2	5	590	1236	0.88465250965251
GO:0002042	cell migration involved in sprouting angiogenesis	  5	0.51862524218769	1	2	3	590	1238	1.23851351351351
GO:0002063	chondrocyte development	  5	0.0401325758171401	0.786756256242643	4	1	588	1240	2.47702702702703
GO:0002098	tRNA wobble uridine modification	  5	0.858122331328609	1	1	4	591	1237	0.619256756756757
GO:0002244	hematopoietic progenitor cell differentiation	 12	0.577270197499861	1	4	8	588	1233	1.03209459459459
GO:0002250	adaptive immune response	  9	0.970392664332726	1	1	8	591	1233	0.344031531531532
GO:0002376	immune system process	 38	0.728442381078045	1	11	27	581	1214	0.8962926742532
GO:0003007	heart morphogenesis	  9	0.128860368259152	1	5	4	587	1237	1.72015765765766
GO:0003148	outflow tract septum morphogenesis	  5	0.858122331328609	1	1	4	591	1237	0.619256756756757
GO:0003151	outflow tract morphogenesis	  8	0.237355486348997	1	4	4	588	1237	1.54814189189189
GO:0003678	DNA helicase activity	  9	0.597360339990408	1	3	6	589	1235	1.03209459459459
GO:0003682	chromatin binding	 49	0.761470079409225	1	14	35	578	1206	0.88465250965251
GO:0003684	damaged DNA binding	  8	0.787989050484408	1	2	6	590	1235	0.774070945945946
GO:0003690	double-stranded DNA binding	 15	0.908660919520508	1	3	12	589	1229	0.619256756756757
GO:0003697	single-stranded DNA binding	  8	0.787989050484408	1	2	6	590	1235	0.774070945945946
GO:0003700	DNA-binding transcription factor activity	 77	0.946365821037567	1	19	58	573	1183	0.764018076518077
GO:0003707	steroid hormone receptor activity	  5	1	1	0	5	592	1236	0
GO:0003712	transcription coregulator activity	 12	0.577270197499861	1	4	8	588	1233	1.03209459459459
GO:0003713	transcription coactivator activity	 23	0.3086172783449	1	9	14	583	1227	1.211589306698
GO:0003714	transcription corepressor activity	 25	0.867839803040307	1	6	19	586	1222	0.743108108108108
GO:0003723	RNA binding	 70	0.947247616862314	1	17	53	575	1188	0.751954633204633
GO:0003725	double-stranded RNA binding	  7	1	1	0	7	592	1234	0
GO:0003729	mRNA binding	 23	0.652857603294042	1	7	16	585	1225	0.942347238542891
GO:0003730	mRNA 3	  8	0.787989050484408	1	2	6	590	1235	0.774070945945946
GO:0003735	structural constituent of ribosome	  6	0.904069585077768	1	1	5	591	1236	0.516047297297297
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	  6	0.299103601397446	1	3	3	589	1238	1.54814189189189
GO:0003774	motor activity	 11	0.743720502629578	1	3	8	589	1233	0.844441031941032
GO:0003777	microtubule motor activity	  5	0.858122331328609	1	1	4	591	1237	0.619256756756757
GO:0003779	actin binding	 45	0.371490376611985	1	16	29	576	1212	1.1009009009009
GO:0003785	actin monomer binding	  5	0.51862524218769	1	2	3	590	1238	1.23851351351351
GO:0003824	catalytic activity	 39	0.251543426541894	1	15	24	577	1217	1.19087837837838
GO:0003924	GTPase activity	 28	0.271725565595568	1	11	17	581	1224	1.2163972007722
GO:0004177	aminopeptidase activity	  5	0.51862524218769	1	2	3	590	1238	1.23851351351351
GO:0004197	cysteine-type endopeptidase activity	  5	0.194485048839898	1	3	2	589	1239	1.85777027027027
GO:0004222	metalloendopeptidase activity	 14	0.712224436472029	1	4	10	588	1231	0.88465250965251
GO:0004386	helicase activity	 14	0.491129193900605	1	5	9	587	1232	1.10581563706564
GO:0004402	histone acetyltransferase activity	  8	0.956177301222405	1	1	7	591	1234	0.387035472972973
GO:0004407	histone deacetylase activity	  6	0.628386062582812	1	2	4	590	1237	1.03209459459459
GO:0004518	nuclease activity	 11	0.497757440223783	1	4	7	588	1234	1.12592137592138
GO:0004519	endonuclease activity	  7	0.717564476263447	1	2	5	590	1236	0.88465250965251
GO:0004672	protein kinase activity	 62	0.997123273025088	1	11	51	581	1190	0.549340671316478
GO:0004674	protein serine/threonine kinase activity	 48	0.998686913461348	1	7	41	585	1200	0.451541385135135
GO:0004709	MAP kinase kinase kinase activity	  5	1	1	0	5	592	1236	0
GO:0004713	protein tyrosine kinase activity	 12	0.990883810919881	1	1	11	591	1230	0.258023648648649
GO:0004714	transmembrane receptor protein tyrosine kinase activity	  6	0.904069585077768	1	1	5	591	1236	0.516047297297297
GO:0004721	phosphoprotein phosphatase activity	 18	0.354719372549415	1	7	11	585	1230	1.20411036036036
GO:0004722	protein serine/threonine phosphatase activity	  8	0.787989050484408	1	2	6	590	1235	0.774070945945946
GO:0004725	protein tyrosine phosphatase activity	 14	0.129373656826625	1	7	7	585	1234	1.54814189189189
GO:0004842	ubiquitin-protein transferase activity	 36	0.0838740755557946	0.91997351348839	16	20	576	1221	1.37612612612613
GO:0004843	thiol-dependent ubiquitin-specific protease activity	 11	0.915060873220733	1	2	9	590	1232	0.562960687960688
GO:0004857	enzyme inhibitor activity	  6	0.904069585077768	1	1	5	591	1236	0.516047297297297
GO:0004864	protein phosphatase inhibitor activity	  6	0.904069585077768	1	1	5	591	1236	0.516047297297297
GO:0004888	transmembrane signaling receptor activity	 10	0.000261290367967927	0.240487870950031	9	1	583	1240	2.78665540540541
GO:0004930	G protein-coupled receptor activity	 23	0.0370410596768187	0.786756256242643	12	11	580	1230	1.61545240893067
GO:0005085	guanyl-nucleotide exchange factor activity	 24	0.975331176734009	1	4	20	588	1221	0.516047297297297
GO:0005089	Rho guanyl-nucleotide exchange factor activity	 13	0.84424880882489	1	3	10	589	1231	0.714527027027027
GO:0005096	GTPase activator activity	 36	0.650748886428579	1	11	25	581	1216	0.946086711711712
GO:0005102	signaling receptor binding	 24	0.115141301885874	1	11	13	581	1228	1.41913006756757
GO:0005109	frizzled binding	  7	0.0392750944298088	0.786756256242643	5	2	587	1239	2.21163127413127
GO:0005158	insulin receptor binding	  6	0.299103601397446	1	3	3	589	1238	1.54814189189189
GO:0005178	integrin binding	 10	0.676639667427998	1	3	7	589	1234	0.928885135135135
GO:0005198	structural molecule activity	  6	0.299103601397446	1	3	3	589	1238	1.54814189189189
GO:0005200	structural constituent of cytoskeleton	  8	0.506290753600563	1	3	5	589	1236	1.16110641891892
GO:0005201	extracellular matrix structural constituent	  6	0.628386062582812	1	2	4	590	1237	1.03209459459459
GO:0005216	ion channel activity	 18	0.740866375504969	1	5	13	587	1228	0.860078828828829
GO:0005244	voltage-gated ion channel activity	 12	0.799203937672817	1	3	9	589	1232	0.774070945945946
GO:0005249	voltage-gated potassium channel activity	  8	0.787989050484408	1	2	6	590	1235	0.774070945945946
GO:0005262	calcium channel activity	  7	0.935153769880156	1	1	6	591	1235	0.442326254826255
GO:0005267	potassium channel activity	  8	0.506290753600563	1	3	5	589	1236	1.16110641891892
GO:0005506	iron ion binding	  8	0.237355486348997	1	4	4	588	1237	1.54814189189189
GO:0005507	copper ion binding	  5	0.858122331328609	1	1	4	591	1237	0.619256756756757
GO:0005509	calcium ion binding	 60	0.0771682506054024	0.91997351348839	25	35	567	1206	1.29011824324324
GO:0005516	calmodulin binding	 20	0.301526222062565	1	8	12	584	1229	1.23851351351351
GO:0005525	GTP binding	 36	0.650748886428579	1	11	25	581	1216	0.946086711711712
GO:0005543	phospholipid binding	  9	0.128860368259152	1	5	4	587	1237	1.72015765765766
GO:0005546	phosphatidylinositol-4,5-bisphosphate binding	  6	0.904069585077768	1	1	5	591	1236	0.516047297297297
GO:0005547	phosphatidylinositol-3,4,5-trisphosphate binding	  6	0.628386062582812	1	2	4	590	1237	1.03209459459459
GO:0005576	extracellular region	 94	0.0547040218563678	0.91997351348839	38	56	554	1185	1.25168918918919
GO:0005581	collagen trimer	  6	0.0152656155845349	0.60563453938688	5	1	587	1240	2.58023648648649
GO:0005604	basement membrane	  9	0.597360339990408	1	3	6	589	1235	1.03209459459459
GO:0005615	extracellular space	 83	0.0341588210647621	0.786756256242643	35	48	557	1193	1.30566183653533
GO:0005635	nuclear envelope	 18	0.740866375504969	1	5	13	587	1228	0.860078828828829
GO:0005637	nuclear inner membrane	 11	0.497757440223783	1	4	7	588	1234	1.12592137592138
GO:0005643	nuclear pore	  9	0.970392664332726	1	1	8	591	1233	0.344031531531532
GO:0005667	transcription factor complex	 19	0.90792395974932	1	4	15	588	1226	0.651849217638691
GO:0005681	spliceosomal complex	 13	0.215493701544227	1	6	7	586	1234	1.42905405405405
GO:0005694	chromosome	 46	0.858893354991071	1	12	34	580	1207	0.807726204465335
GO:0005730	nucleolus	100	0.797117772158873	1	29	71	563	1170	0.897922297297297
GO:0005741	mitochondrial outer membrane	 15	0.562599233830235	1	5	10	587	1231	1.03209459459459
GO:0005743	mitochondrial inner membrane	 31	0.019102691231585	0.677463299748711	16	15	576	1226	1.59808195292066
GO:0005758	mitochondrial intermembrane space	  8	0.237355486348997	1	4	4	588	1237	1.54814189189189
GO:0005759	mitochondrial matrix	 17	0.485639633775843	1	6	11	586	1230	1.09280604133545
GO:0005762	mitochondrial large ribosomal subunit	  7	0.935153769880156	1	1	6	591	1235	0.442326254826255
GO:0005764	lysosome	 48	0.262717660670227	1	18	30	574	1211	1.16110641891892
GO:0005765	lysosomal membrane	 27	0.227172538277671	1	11	16	581	1225	1.26144894894895
