Gene ID	Gene Name	Design Element	g5_g7.p-value	g5_g7.t-statistic	g5_g7.log2foldchange	g6_g8.p-value	g6_g8.t-statistic	g6_g8.log2foldchange
ENSMUSG00000000037	Scml2	1456984_at	NA	0.845391056844077	0.1	NA	1.46824342831786	0.1
ENSMUSG00000000078	Klf6	1447448_s_at	NA	-0.649791234963856	-0.1	0.324343080679195	1.27734913901036	0.2
ENSMUSG00000000085	Scmh1	1439554_at	NA	0.0864810392968776	0	NA	-0.685339437980716	-0.1
ENSMUSG00000000094	Tbx4	1456033_at	NA	-0.720691959678308	-0.1	NA	1.52587902320822	0.1
ENSMUSG00000000126	Wnt9a	1436978_at	0.0522785368374971	-3.34023392004111	-0.5	0.0172217820286594	-3.83244719044018	-0.3
ENSMUSG00000000134	Tfe3	1434318_a_at	NA	1.93537818344365	0.2	NA	0.643447454590041	0.1
ENSMUSG00000000157	Itgb2l	1433053_at	NA	0.76091250791105	0.1	NA	-1.24930776938414	-0.1
ENSMUSG00000000167	Pih1d2	1429936_at	NA	-0.323833467317754	0	NA	0.871520428786619	0.1
ENSMUSG00000000194	Gpr107	1434086_at	NA	-0.434143012255495	-0.1	NA	0.218036676868616	0
ENSMUSG00000000197	Nalcn	1448083_at	NA	0.243714533561602	0	NA	-0.721149411283406	-0.1
ENSMUSG00000000223	Drp2	1440452_at	NA	1.19543036990886	0.2	NA	-1.22543861991216	-0.1
ENSMUSG00000000244	Tspan32	1431289_at	NA	-0.311282465773168	0	NA	-0.218304239271146	0
ENSMUSG00000000263	Glra1	1437139_at	NA	-0.728369949917375	-0.1	NA	2.13426934817163	0.2
ENSMUSG00000000276	Dgke	1438078_at	NA	2.69649026891417	0.4	NA	-0.775554249616665	-0.1
ENSMUSG00000000305	Cdh4	1456397_at	NA	-1.21454787651767	-0.2	NA	0.149783299550645	0
ENSMUSG00000000365	Rnf17	1459275_at	NA	0.502208301944229	0.1	NA	-0.29603645945123	0
ENSMUSG00000000384	Tbrg4	1442793_s_at	NA	-1.19247056329338	-0.2	0.000801574578615643	-7.05891871711896	-0.7
ENSMUSG00000000385	Tmprss2	1459510_at	NA	1.71523607556223	0.2	NA	-0.00361035883501336	0
ENSMUSG00000000416	Cttnbp2	1435435_at	NA	-1.16526047854858	-0.1	NA	-0.581720581767015	0
ENSMUSG00000000530	Acvrl1	1435825_at	NA	-1.62878526730134	-0.2	NA	-0.260414954599212	0
ENSMUSG00000000531	Grasp	1441894_s_at	0.141888007932711	2.3234915271672	0.5	NA	1.61410982225462	0.1
ENSMUSG00000000538	Tom1l2	1434385_at	NA	0.586792559345094	0.1	NA	0.170550869381668	0
ENSMUSG00000000560	Gabra2	1443865_at	NA	-0.804196798416935	-0.1	NA	-0.423784859555839	0
ENSMUSG00000000562	Adora3	1430482_at	NA	-0.897999853440767	-0.1	NA	-0.325360140779216	0
ENSMUSG00000000568	Hnrnpd	1457568_at	0.236312198366426	1.81028457880936	0.3	NA	-1.63801268830242	-0.1
ENSMUSG00000000594	Gm2a	1442203_at	NA	3.38811439609564	0.4	0.000807777312098573	7.0387563008562	0.6
ENSMUSG00000000600	Krit1	1428729_at	NA	1.26428793932852	0.1	NA	1.88595442020966	0.1
ENSMUSG00000000627	Sema4f	1439768_x_at	NA	-1.34696144051267	-0.2	NA	-0.892245664035967	-0.1
ENSMUSG00000000686	Abhd15	1445506_at	NA	0.393241236869346	0.1	NA	-0.297388406461616	0
ENSMUSG00000000711	Rab5b	1437446_at	NA	1.514520071034	0.2	NA	0.515727710015391	0
ENSMUSG00000000766	Oprm1	1459402_at	NA	-1.08240295981296	-0.1	NA	-0.760797406151366	-0.1
ENSMUSG00000000792	Slc5a5	1436239_at	0.0770212293261281	2.94634962785759	0.5	NA	-1.47621585338966	-0.1
ENSMUSG00000000804	Usp32	1436159_at	0.355053956401797	1.33084679662908	0.3	0.593927756912568	0.711331981398621	0.1
ENSMUSG00000000823	Zfp512b	1436184_at	NA	1.1362926842738	0.1	NA	0.877802159288055	0.1
