Term	Accession	Genes (tot)	Stat (non-dir.) p	p adj (non-dir.)	Significant..in.gene.set.	Non.significant..in.gene.set.	Significant..not.in.gene.set.	Non.significant..not.in.gene.set.	effect.size
R-MMU-9006925	Intracellular signaling by second messengers	26	0.810987001259155	1	4	22	108	417	0.756868131868132
R-MMU-9006931	Signaling by Nuclear Receptors	16	0.4151097481533	1	4	12	108	427	1.22991071428571
R-MMU-9006934	Signaling by Receptor Tyrosine Kinases	24	0.559070451048042	1	5	19	107	420	1.0249255952381
R-MMU-9006936	Signaling by TGF-beta family members	 7	0.432804914670301	1	2	5	110	434	1.40561224489796
R-MMU-9009391	Extra-nuclear estrogen signaling	 8	0.209137211849364	1	3	5	109	434	1.84486607142857
R-MMU-9018519	Estrogen-dependent gene expression	 6	1	1	0	6	112	433	0
R-MMU-9020702	Interleukin-1 signaling	 5	1	1	0	5	112	434	0
R-MMU-917729	Endosomal Sorting Complex Required For Transport (ESCRT)	 5	1	1	0	5	112	434	0
R-MMU-937061	TRIF(TICAM1)-mediated TLR4 signaling 	 6	1	1	0	6	112	433	0
R-MMU-948021	Transport to the Golgi and subsequent modification	 7	0.798195996756155	1	1	6	111	433	0.70280612244898
R-MMU-9607240	FLT3 Signaling	16	0.663600793240511	1	3	13	109	426	0.922433035714286
R-MMU-9612973	Autophagy	 8	0.839743879776946	1	1	7	111	432	0.614955357142857
R-MMU-9648025	EML4 and NUDC in mitotic spindle formation	10	0.00642612514701796	0.384949150551431	6	4	106	435	2.95178571428571
R-MMU-975138	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	 7	1	1	0	7	112	432	0
R-MMU-975155	MyD88 dependent cascade initiated on endosome	 7	1	1	0	7	112	432	0
R-MMU-975871	MyD88 cascade initiated on plasma membrane	 7	1	1	0	7	112	432	0
R-MMU-983168	Antigen processing: Ubiquitination & Proteasome degradation	31	0.993388018862495	1	2	29	110	410	0.317396313364055
R-MMU-983169	Class I MHC mediated antigen processing & presentation	33	0.995677825967354	1	2	31	110	408	0.298160173160173
R-MMU-983231	Factors involved in megakaryocyte development and platelet production	 7	0.152447241088298	1	3	4	109	435	2.10841836734694
R-MMU-983712	Ion channel transport	 8	0.209137211849364	1	3	5	109	434	1.84486607142857
