Term	Accession	Genes (tot)	Stat (non-dir.) p	p adj (non-dir.)	Significant..in.gene.set.	Non.significant..in.gene.set.	Significant..not.in.gene.set.	Non.significant..not.in.gene.set.	effect.size
IPR000008	C2 domain	 33	0.603597926697873	1	12	21	1607	2715	0.9781571115728
IPR000010	Cystatin domain	  7	0.517392947213305	1	3	4	1616	2732	1.15282802435366
IPR000014	PAS domain	  9	0.711616573536393	1	3	6	1616	2730	0.896644018941734
IPR000033	LDLR class B repeat	  8	0.0343392566672815	0.398149371965713	6	2	1613	2734	2.0174490426189
IPR000047	Helix-turn-helix motif	  5	1	1	0	5	1619	2731	0
IPR000048	IQ motif, EF-hand binding site	 17	0.137052511285708	0.740307870309966	9	8	1610	2728	1.42408167714275
IPR000072	PDGF/VEGF domain	  7	0.0712819943779606	0.50347598134328	5	2	1614	2734	1.92138004058943
IPR000073	Alpha/beta hydrolase fold-1	  8	0.0052607008686782	0.17550213414746	7	1	1612	2735	2.35369054972205
IPR000086	NUDIX hydrolase domain	  5	0.61267415124167	1	2	3	1617	2733	1.07597282273008
IPR000095	CRIB domain	  7	0.237047756572008	0.911303013323014	4	3	1615	2733	1.53710403247154
IPR000152	EGF-type aspartate/asparagine hydroxylation site	 34	1.67239360425235e-05	0.00374058702817776	25	9	1594	2727	1.97789121825382
IPR000159	Ras-associating (RA) domain	  8	0.341242289248259	1	4	4	1615	2732	1.3449660284126
IPR000169	Cysteine peptidase, cysteine active site	  9	0.44601687890421	1	4	5	1615	2731	1.19552535858898
IPR000175	Sodium:neurotransmitter symporter	  5	0.269784736128365	0.911303013323014	3	2	1616	2734	1.61395923409512
IPR000182	GNAT domain	  5	0.902265242559549	1	1	4	1618	2732	0.53798641136504
IPR000195	Rab-GTPase-TBC domain	  5	0.902265242559549	1	1	4	1618	2732	0.53798641136504
IPR000198	Rho GTPase-activating protein domain	 13	0.565700165115367	1	5	8	1614	2728	1.03458925262508
IPR000203	GPS motif	  5	0.269784736128365	0.911303013323014	3	2	1616	2734	1.61395923409512
IPR000210	BTB/POZ domain	 38	0.811129997161968	1	12	26	1607	2710	0.849452228471116
IPR000215	Serpin family	 11	0.633421409096842	1	4	7	1615	2729	0.9781571115728
IPR000219	Dbl homology (DH) domain	 14	0.103397578872481	0.700805812357928	8	6	1611	2730	1.53710403247154
IPR000225	Armadillo	 15	0.868332102365972	1	4	11	1615	2725	0.717315215153387
IPR000242	PTP type protein phosphatase	 12	0.882343850200317	1	3	9	1616	2727	0.6724830142063
IPR000253	Forkhead-associated (FHA) domain	  9	0.711616573536393	1	3	6	1616	2730	0.896644018941734
IPR000261	EH domain	  5	0.269784736128365	0.911303013323014	3	2	1616	2734	1.61395923409512
IPR000276	G protein-coupled receptor, rhodopsin-like	 58	0.999999999003783	1	3	55	1616	2681	0.139134416732338
IPR000299	FERM domain	 12	0.480277247362114	1	5	7	1614	2729	1.12080502367717
IPR000301	Tetraspanin	  6	0.397245008367035	1	3	3	1616	2733	1.3449660284126
IPR000306	FYVE zinc finger	  5	0.61267415124167	1	2	3	1617	2733	1.07597282273008
IPR000315	B-box-type zinc finger	 14	0.426159015635802	1	6	8	1613	2728	1.15282802435366
IPR000340	Dual specificity phosphatase, catalytic domain	 12	0.262766521497766	0.911303013323014	6	6	1613	2730	1.3449660284126
IPR000355	Chemokine receptor family	  5	1	1	0	5	1619	2731	0
IPR000372	Leucine-rich repeat N-terminal domain	 12	0.0367887646227633	0.398149371965713	8	4	1611	2732	1.79328803788347
IPR000387	Tyrosine specific protein phosphatases domain	 23	0.335420854590018	1	10	13	1609	2723	1.16953567688052
IPR000403	Phosphatidylinositol 3-/4-kinase, catalytic domain	  7	0.237047756572008	0.911303013323014	4	3	1615	2733	1.53710403247154
IPR000408	Regulator of chromosome condensation, RCC1	  6	0.720388722678987	1	2	4	1617	2732	0.896644018941734
IPR000413	Integrin alpha chain	  7	0.961482798814062	1	1	6	1618	2730	0.384276008117886
IPR000418	Ets domain	  6	0.720388722678987	1	2	4	1617	2732	0.896644018941734
IPR000421	Coagulation factor 5/8 C-terminal domain	  5	0.269784736128365	0.911303013323014	3	2	1616	2734	1.61395923409512
IPR000436	Sushi/SCR/CCP domain	 13	0.565700165115367	1	5	8	1614	2728	1.03458925262508
IPR000483	Cysteine-rich flanking region, C-terminal	 11	0.0684350679600946	0.50347598134328	7	4	1612	2732	1.7117749452524
IPR000488	Death domain	  5	0.902265242559549	1	1	4	1618	2732	0.53798641136504
IPR000500	Connexin	  6	0.720388722678987	1	2	4	1617	2732	0.896644018941734
IPR000504	RNA recognition motif domain	 77	0.999431593692044	1	16	61	1603	2675	0.558946920898743
IPR000536	Nuclear hormone receptor, ligand-binding domain	 10	0.990480396411843	1	1	9	1618	2727	0.26899320568252
IPR000539	Frizzled/Smoothened, transmembrane domain	  5	0.902265242559549	1	1	4	1618	2732	0.53798641136504
IPR000562	Fibronectin type II domain	  5	0.0669858391868096	0.50347598134328	4	1	1615	2735	2.15194564546016
IPR000566	Lipocalin/cytosolic fatty-acid binding domain	  7	0.517392947213305	1	3	4	1616	2732	1.15282802435366
IPR000569	HECT domain	  7	1	1	0	7	1619	2729	0
IPR000571	Zinc finger, CCCH-type	  8	0.975824875336609	1	1	7	1618	2729	0.33624150710315
IPR000585	Hemopexin-like domain	  5	0.61267415124167	1	2	3	1617	2733	1.07597282273008
IPR000595	Cyclic nucleotide-binding domain	  6	1	1	0	6	1619	2730	0
IPR000608	Ubiquitin-conjugating enzyme E2	 14	0.643223025937347	1	5	9	1614	2727	0.960690020294715
IPR000626	Ubiquitin-like domain	 12	0.262766521497766	0.911303013323014	6	6	1613	2730	1.3449660284126
IPR000629	ATP-dependent RNA helicase DEAD-box, conserved site	 10	0.783119482583712	1	3	7	1616	2729	0.80697961704756
IPR000651	Ras-like guanine nucleotide exchange factor, N-terminal	  5	0.902265242559549	1	1	4	1618	2732	0.53798641136504
IPR000668	Peptidase C1A, papain C-terminal	  8	0.861088263156235	1	2	6	1617	2730	0.6724830142063
IPR000716	Thyroglobulin type-1	 10	0.00089146738027089	0.0747718265202209	9	1	1610	2735	2.42093885114268
IPR000717	Proteasome component (PCI) domain	  8	0.975824875336609	1	1	7	1618	2729	0.33624150710315
IPR000725	Olfactory receptor	 11	1	1	0	11	1619	2725	0
IPR000742	EGF-like domain	 67	0.0153750618138797	0.30343136697392	34	33	1585	2703	1.36504014823965
IPR000772	Ricin B, lectin domain	  8	0.0343392566672815	0.398149371965713	6	2	1613	2734	2.0174490426189
IPR000795	Transcription factor, GTP-binding domain	  5	0.61267415124167	1	2	3	1617	2733	1.07597282273008
IPR000798	Ezrin/radixin/moesin-like	  7	0.237047756572008	0.911303013323014	4	3	1615	2733	1.53710403247154
IPR000832	GPCR, family 2, secretin-like	  7	0.517392947213305	1	3	4	1616	2732	1.15282802435366
IPR000834	Peptidase M14, carboxypeptidase A	  6	0.938640546535662	1	1	5	1618	2731	0.448322009470867
IPR000837	AP-1 transcription factor	  7	0.801587032865259	1	2	5	1617	2731	0.768552016235772
IPR000859	CUB domain	  8	0.132853223895759	0.736731514331027	5	3	1614	2733	1.68120753551575
IPR000863	Sulfotransferase domain	  9	0.903794460190476	1	2	7	1617	2729	0.597762679294489
IPR000867	Insulin-like growth factor-binding protein, IGFBP	 10	0.0073234869688955	0.17550213414746	8	2	1611	2734	2.15194564546016
IPR000873	AMP-dependent synthetase/ligase	  8	0.132853223895759	0.736731514331027	5	3	1614	2733	1.68120753551575
IPR000884	Thrombospondin type-1 (TSP1) repeat	 15	0.711402426546921	1	5	10	1614	2726	0.896644018941734
