Term	Accession	Genes (tot)	Stat (non-dir.) p	p adj (non-dir.)	Significant..in.gene.set.	Non.significant..in.gene.set.	Significant..not.in.gene.set.	Non.significant..not.in.gene.set.	effect.size
R-MMU-109581	Apoptosis	 9	0.973989148791738	1	1	8	273	544	0.334955393349554
R-MMU-109582	Hemostasis	45	0.123258625222449	0.929575465219302	19	26	255	526	1.2728304947283
R-MMU-109704	PI3K Cascade	 6	0.316021517910751	1	3	3	271	549	1.50729927007299
R-MMU-112310	Neurotransmitter release cycle	 6	0.646432262768068	1	2	4	272	548	1.00486618004866
R-MMU-112314	Neurotransmitter receptors and postsynaptic signal transmission	13	0.674775084861482	1	4	9	270	543	0.92756878158338
R-MMU-112315	Transmission across Chemical Synapses	21	0.749492582344048	1	6	15	268	537	0.861313868613139
R-MMU-112316	Neuronal System	31	0.861434870462231	1	8	23	266	529	0.777960913586061
R-MMU-112382	Formation of RNA Pol II elongation complex 	 7	0.42562117961952	1	3	4	271	548	1.29197080291971
R-MMU-112399	IRS-mediated signalling	 7	0.42562117961952	1	3	4	271	548	1.29197080291971
R-MMU-114604	GPVI-mediated activation cascade	 7	0.42562117961952	1	3	4	271	548	1.29197080291971
R-MMU-114608	Platelet degranulation 	14	0.304319294033432	1	6	8	268	544	1.29197080291971
R-MMU-1168372	Downstream signaling events of B Cell Receptor (BCR)	 7	0.169888635632393	0.943798638297247	4	3	270	549	1.72262773722628
R-MMU-1236394	Signaling by ERBB4	 5	0.536295347815629	1	2	3	272	549	1.20583941605839
R-MMU-1257604	PIP3 activates AKT signaling	29	0.897661467273055	1	7	22	267	530	0.727661716586962
R-MMU-1266738	Developmental Biology	39	0.68662644041687	1	12	27	262	525	0.92756878158338
R-MMU-1280215	Cytokine Signaling in Immune system	49	0.0525504782060918	0.837370820617278	22	27	252	525	1.35349322210636
R-MMU-1280218	Adaptive Immune System	73	0.569214986655369	1	24	49	250	503	0.991100889911009
R-MMU-1296071	Potassium Channels	10	0.895479039759214	1	2	8	272	544	0.602919708029197
R-MMU-1296072	Voltage gated Potassium channels	 6	0.911729095268888	1	1	5	273	547	0.502433090024331
R-MMU-141424	Amplification of signal from the kinetochores	15	0.920650911512663	1	3	12	271	540	0.602919708029197
R-MMU-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	15	0.920650911512663	1	3	12	271	540	0.602919708029197
R-MMU-1428517	The citric acid (TCA) cycle and respiratory electron transport	12	0.817718765387068	1	3	9	271	543	0.753649635036496
